I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
107, 244, 136, -175, -14, 190, -361, -409, -761, -287, -224, -29, 
112, 244, 131, -178, -9, 187, -361, -409, -761, -287, -229, -29, 
112, 244, 131, -178, -9, 187, -361, -409, -761, -287, -229, -29, 
112, 239, 126, -175, -7, 183, -361, -409, -761, -287, -224, -29, 
112, 239, 126, -175, -7, 183, -361, -409, -761, -278, -214, -29, 
112, 239, 126, -175, -7, 183, -361, -409, -761, -283, -219, -29, 
102, 239, 136, -170, -17, 187, -361, -409, -761, -283, -219, -34, 
102, 239, 136, -170, -17, 187, -356, -409, -756, -283, -219, -34, 
117, 244, 126, -180, -4, 185, -356, -400, -756, -263, -204, -19, 
117, 244, 126, -180, -4, 185, -356, -400, -756, -263, -204, -19, 
117, 244, 126, -180, -4, 185, -356, -400, -756, -263, -204, -19, 
117, 248, 131, -183, -7, 190, -356, -400, -756, -258, -195, -19, 
107, 258, 151, -183, -21, 204, -356, -400, -736, -248, -190, -9, 
112, 268, 156, -190, -21, 212, -356, -400, -727, -248, -190, -9, 
112, 273, 161, -192, -24, 217, -356, -400, -722, -248, -180, -9, 
112, 283, 170, -197, -29, 226, -356, -400, -717, -248, -180, -9, 
122, 292, 170, -207, -24, 231, -370, -400, -707, -224, -175, -4, 
122, 302, 180, -212, -29, 241, -370, -400, -702, -224, -175, 0, 
122, 307, 185, -214, -31, 246, -366, -400, -697, -219, -170, 0, 
126, 307, 180, -217, -26, 244, -366, -400, -692, -214, -165, 4, 
122, 326, 204, -224, -41, 265, -356, -409, -688, -209, -161, 9, 
122, 331, 209, -226, -43, 270, -356, -409, -688, -209, -161, 9, 
122, 336, 214, -229, -46, 275, -356, -405, -683, -204, -156, 4, 
126, 336, 209, -231, -41, 273, -356, -395, -678, -204, -156, 4, 
131, 356, 224, -244, -46, 290, -346, -380, -673, -214, -151, 14, 
131, 346, 214, -239, -41, 280, -341, -375, -668, -209, -151, 14, 
136, 346, 209, -241, -36, 278, -331, -370, -663, -209, -146, 14, 
136, 341, 204, -239, -34, 273, -326, -366, -663, -209, -141, 19, 
146, 341, 195, -244, -24, 268, -326, -351, -663, -209, -141, 19, 
151, 331, 180, -241, -14, 256, -326, -351, -663, -209, -146, 19, 
151, 326, 175, -239, -12, 251, -326, -351, -673, -209, -146, 19, 
151, 322, 170, -236, -9, 246, -331, -351, -673, -209, -151, 9, 
161, 317, 156, -239, 2, 236, -331, -361, -673, -204, -151, 9, 
161, 317, 156, -239, 2, 236, -346, -370, -688, -219, -156, 4, 
161, 322, 161, -241, 0, 241, -361, -385, -702, -234, -170, 4, 
161, 317, 156, -239, 2, 236, -370, -390, -712, -234, -170, 4, 
141, 302, 161, -222, -9, 231, -361, -400, -732, -239, -161, -4, 
141, 287, 146, -214, -2, 217, -366, -405, -741, -253, -175, -9, 
146, 283, 136, -214, 4, 209, -366, -409, -756, -263, -180, -14, 
146, 278, 131, -212, 7, 204, -375, -419, -761, -263, -180, -14, 
136, 268, 131, -202, 2, 200, -380, -434, -775, -263, -185, -29, 
136, 268, 131, -202, 2, 200, -390, -434, -771, -268, -190, -29, 
136, 268, 131, -202, 2, 200, -395, -434, -775, -273, -200, -29, 
136, 268, 131, -202, 2, 200, -395, -434, -785, -287, -204, -29, 
126, 248, 122, -187, 2, 185, -380, -424, -785, -278, -200, -29, 
122, 244, 122, -183, 0, 183, -375, -419, -790, -283, -204, -39, 
122, 234, 112, -178, 4, 173, -375, -419, -790, -287, -209, -39, 
122, 234, 112, -178, 4, 173, -375, -419, -790, -287, -209, -39, 
136, 244, 107, -190, 14, 175, -366, -405, -775, -287, -204, -34, 
136, 244, 107, -190, 14, 175, -366, -405, -771, -283, -200, -29, 
136, 253, 117, -195, 9, 185, -366, -405, -771, -283, -195, -29, 
141, 253, 112, -197, 14, 183, -366, -405, -771, -278, -195, -29, 
151, 263, 112, -207, 19, 187, -370, -400, -771, -278, -195, -29, 
156, 263, 107, -209, 24, 185, -370, -395, -766, -278, -185, -29, 
156, 283, 126, -219, 14, 204, -375, -395, -756, -263, -175, -14, 
165, 287, 122, -226, 21, 204, -380, -400, -756, -263, -175, -14, 
175, 297, 122, -236, 26, 209, -370, -409, -746, -253, -175, -4, 
175, 302, 126, -239, 24, 214, -370, -409, -751, -258, -175, -4, 
175, 302, 126, -239, 24, 214, -370, -409, -751, -263, -175, -4, 
175, 302, 126, -239, 24, 214, -370, -409, -751, -263, -180, -4, 
