I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
663, 668, 4, -666, 329, 336, 151, 78, 97, 151, 273, 170, 
653, 668, 14, -661, 319, 341, 141, 78, 97, 146, 278, 175, 
653, 678, 24, -666, 314, 351, 141, 73, 102, 146, 278, 175, 
658, 678, 19, -668, 319, 348, 131, 68, 102, 151, 278, 175, 
668, 683, 14, -675, 326, 348, 146, 78, 102, 151, 278, 170, 
663, 697, 34, -680, 314, 366, 146, 78, 107, 151, 278, 170, 
663, 702, 39, -683, 312, 370, 151, 73, 107, 151, 278, 180, 
663, 717, 53, -690, 305, 385, 141, 68, 107, 151, 278, 185, 
653, 732, 78, -692, 287, 405, 117, 48, 107, 151, 287, 195, 
653, 732, 78, -692, 287, 405, 92, 29, 102, 156, 287, 200, 
653, 741, 87, -697, 283, 414, 73, 14, 102, 156, 292, 200, 
663, 761, 97, -712, 283, 429, 53, 9, 97, 156, 297, 204, 
683, 771, 87, -727, 297, 429, 34, -4, 87, 151, 297, 209, 
688, 771, 82, -729, 302, 427, 34, -4, 87, 151, 297, 209, 
697, 771, 73, -734, 312, 422, 29, -4, 82, 156, 307, 214, 
697, 771, 73, -734, 312, 422, 19, -14, 82, 156, 307, 219, 
697, 761, 63, -729, 317, 412, 14, -14, 82, 165, 302, 209, 
697, 756, 58, -727, 319, 407, 14, -14, 78, 165, 302, 209, 
697, 756, 58, -727, 319, 407, 14, -4, 78, 165, 312, 214, 
712, 756, 43, -734, 334, 400, 14, 0, 82, 180, 317, 219, 
727, 761, 34, -744, 346, 397, 9, 4, 87, 180, 322, 229, 
741, 761, 19, -751, 361, 390, 14, 9, 87, 180, 322, 229, 
746, 756, 9, -751, 368, 383, 19, 24, 92, 180, 322, 234, 
746, 756, 9, -751, 368, 383, 29, 29, 102, 180, 326, 234, 
746, 732, -14, -739, 380, 358, 39, 48, 97, 170, 317, 224, 
746, 727, -19, -736, 383, 353, 34, 39, 82, 165, 307, 214, 
746, 722, -24, -734, 385, 348, 34, 29, 68, 161, 302, 214, 
751, 697, -53, -724, 402, 322, 43, 39, 63, 161, 302, 214, 
741, 697, -43, -719, 392, 326, 58, 39, 63, 161, 302, 204, 
741, 697, -43, -719, 392, 326, 63, 39, 63, 161, 302, 200, 
736, 697, -39, -717, 387, 329, 63, 34, 53, 156, 297, 200, 
727, 683, -43, -705, 385, 319, 68, 34, 48, 146, 287, 185, 
712, 673, -39, -692, 375, 317, 78, 39, 58, 146, 278, 195, 
702, 673, -29, -688, 366, 322, 87, 48, 58, 146, 278, 195, 
688, 673, -14, -680, 351, 329, 97, 53, 63, 146, 278, 185, 
663, 673, 9, -668, 326, 341, 97, 53, 63, 146, 268, 185, 
668, 658, -9, -663, 339, 324, 97, 43, 73, 151, 273, 195, 
668, 653, -14, -661, 341, 319, 97, 34, 73, 151, 278, 195, 
658, 629, -29, -644, 344, 300, 97, 34, 68, 146, 273, 185, 
653, 605, -48, -629, 351, 278, 102, 34, 58, 131, 263, 170, 
658, 600, -58, -629, 358, 270, 117, 29, 29, 107, 239, 146, 
649, 580, -68, -614, 358, 256, 117, 24, 24, 97, 234, 141, 
644, 580, -63, -612, 353, 258, 112, 24, 19, 97, 234, 141, 
644, 580, -63, -612, 353, 258, 112, 29, 14, 97, 234, 141, 
634, 580, -53, -607, 344, 263, 122, 39, 24, 107, 239, 151, 
629, 580, -48, -605, 339, 265, 126, 39, 24, 107, 239, 151, 
624, 570, -53, -597, 339, 258, 126, 39, 29, 107, 239, 151, 
624, 570, -53, -597, 339, 258, 126, 39, 29, 107, 239, 151, 
644, 580, -63, -612, 353, 258, 131, 48, 29, 97, 239, 136, 
634, 575, -58, -605, 346, 258, 136, 48, 19, 97, 239, 136, 
634, 575, -58, -605, 346, 258, 136, 58, 29, 97, 239, 136, 
634, 580, -53, -607, 344, 263, 136, 58, 29, 97, 234, 136, 
629, 570, -58, -600, 344, 256, 126, 43, 24, 92, 229, 131, 
619, 556, -63, -588, 341, 246, 126, 43, 24, 92, 229, 131, 
614, 556, -58, -585, 336, 248, 126, 53, 24, 97, 234, 131, 
610, 561, -48, -585, 329, 256, 126, 53, 24, 97, 234, 131, 
619, 570, -48, -595, 334, 261, 122, 53, 24, 92, 224, 141, 
614, 570, -43, -592, 329, 263, 126, 53, 24, 92, 224, 141, 
610, 566, -43, -588, 326, 261, 126, 53, 24, 92, 224, 136, 
610, 566, -43, -588, 326, 261, 126, 53, 24, 92, 219, 131, 
600, 556, -43, -578, 322, 256, 122, 53, 29, 92, 229, 131, 
600, 546, -53, -573, 326, 246, 122, 53, 29, 92, 229, 136, 
600, 541, -58, -570, 329, 241, 117, 53, 24, 92, 229, 136, 
600, 531, -68, -566, 334, 231, 117, 53, 24, 92, 229, 136, 
595, 536, -58, -566, 326, 239, 122, 53, 19, 82, 219, 126, 
585, 536, -48, -561, 317, 244, 126, 53, 19, 87, 219, 126, 
580, 536, -43, -558, 312, 246, 131, 53, 19, 87, 219, 122, 
575, 536, -39, -556, 307, 248, 136, 53, 19, 87, 219, 122, 
590, 541, -48, -566, 319, 246, 151, 53, 29, 87, 214, 122, 
590, 546, -43, -568, 317, 251, 151, 53, 29, 87, 214, 122, 
590, 546, -43, -568, 317, 251, 151, 53, 29, 87, 214, 122, 
595, 551, -43, -573, 319, 253, 151, 53, 29, 87, 214, 122, 
610, 551, -58, -580, 334, 246, 180, 53, 29, 112, 234, 141, 
619, 556, -63, -588, 341, 246, 214, 63, 39, 117, 248, 151, 
614, 561, -53, -588, 334, 253, 219, 82, 29, 112, 239, 141, 
605, 546, -58, -575, 331, 244, 229, 117, 39, 97, 224, 126, 
590, 512, -78, -551, 334, 217, 253, 170, 53, 78, 214, 102, 
600, 497, -102, -549, 351, 197, 268, 229, 63, 58, 180, 78, 
600, 502, -97, -551, 348, 202, 297, 283, 97, 63, 170, 73, 
610, 541, -68, -575, 339, 236, 322, 331, 180, 102, 195, 92, 
619, 575, -43, -597, 331, 265, 322, 361, 278, 175, 239, 117, 
644, 580, -63, -612, 353, 258, 322, 419, 361, 253, 287, 146, 
707, 575, -131, -641, 419, 222, 370, 541, 483, 351, 361, 195, 
751, 595, -156, -673, 453, 219, 395, 653, 624, 478, 463, 258, 
814, 649, -165, -732, 490, 241, 366, 697, 736, 614, 570, 346, 
941, 756, -185, -849, 563, 285, 278, 673, 785, 775, 727, 473, 
1088, 888, -200, -988, 644, 344, 141, 570, 785, 971, 917, 639, 
1215, 1049, -165, -1132, 690, 441, -43, 419, 761, 1176, 1112, 819, 
1317, 1234, -82, -1276, 700, 575, -248, 268, 751, 1366, 1288, 995, 
1410, 1434, 24, -1422, 692, 729, -424, 141, 717, 1551, 1459, 1166, 
1498, 1644, 146, -1571, 675, 895, -639, -53, 639, 1712, 1644, 1342, 
1527, 1859, 331, -1693, 597, 1095, -883, -361, 546, 1854, 1815, 1512, 
1483, 1927, 444, -1705, 519, 1185, -985, -629, 463, 1883, 1883, 1595, 
1429, 1747, 317, -1588, 556, 1032, -854, -644, 341, 1703, 1742, 1483, 
1332, 1439, 107, -1385, 612, 773, -644, -551, 156, 1390, 1444, 1259, 
1151, 1263, 112, -1207, 519, 688, -531, -663, 14, 1107, 1210, 1073, 
980, 1205, 224, -1093, 378, 714, -512, -858, -78, 878, 1068, 961, 
878, 1117, 239, -997, 319, 678, -458, -897, -185, 673, 902, 834, 
790, 985, 195, -888, 297, 590, -361, -800, -297, 483, 741, 712, 
702, 927, 224, -814, 239, 575, -248, -702, -351, 346, 634, 614, 
653, 883, 229, -768, 212, 556, -117, -590, -370, 244, 546, 527, 
649, 766, 117, -707, 265, 441, 9, -419, -351, 170, 448, 429, 
649, 644, -4, -646, 326, 319, 122, -239, -244, 161, 385, 341, 
658, 566, -92, -612, 375, 236, 209, -102, -131, 170, 356, 273, 
658, 522, -136, -590, 397, 192, 253, -39, -73, 161, 322, 214, 
658, 522, -136, -590, 397, 192, 224, -29, -53, 151, 312, 200, 
673, 541, -131, -607, 402, 204, 204, -24, -34, 175, 326, 209, 
678, 546, -131, -612, 405, 207, 214, 4, -19, 190, 326, 209, 
668, 546, -122, -607, 395, 212, 229, 43, -9, 190, 312, 195, 
663, 546, -117, -605, 390, 214, 234, 68, 14, 195, 307, 195, 
663, 536, -126, -600, 395, 204, 248, 87, 43, 195, 302, 195, 
653, 546, -107, -600, 380, 219, 253, 117, 82, 195, 312, 195, 
639, 566, -73, -602, 356, 246, 263, 136, 112, 195, 307, 195, 
629, 575, -53, -602, 341, 261, 263, 146, 131, 200, 312, 195, 
624, 580, -43, -602, 334, 268, 268, 151, 136, 200, 312, 190, 
629, 590, -39, -610, 334, 275, 273, 165, 146, 204, 326, 180, 
639, 590, -48, -614, 344, 270, 273, 180, 161, 204, 317, 190, 
634, 600, -34, -617, 334, 283, 263, 175, 156, 209, 317, 190, 
634, 605, -29, -619, 331, 287, 263, 185, 165, 214, 322, 195, 
629, 605, -24, -617, 326, 290, 258, 195, 175, 214, 322, 195, 
624, 595, -29, -610, 326, 283, 258, 200, 175, 209, 317, 190, 
614, 590, -24, -602, 319, 283, 263, 209, 190, 209, 317, 190, 
614, 595, -19, -605, 317, 287, 253, 204, 200, 204, 317, 185, 
614, 600, -14, -607, 314, 292, 239, 204, 204, 209, 317, 185, 
614, 605, -9, -610, 312, 297, 239, 204, 219, 219, 317, 190, 
614, 600, -14, -607, 314, 292, 229, 204, 214, 214, 326, 190, 
614, 610, -4, -612, 309, 302, 229, 204, 214, 214, 326, 190, 
614, 610, -4, -612, 309, 302, 239, 209, 214, 214, 331, 190, 
614, 610, -4, -612, 309, 302, 239, 214, 214, 219, 331, 190, 
624, 600, -24, -612, 324, 287, 239, 219, 214, 229, 322, 200, 
624, 600, -24, -612, 324, 287, 229, 229, 224, 229, 322, 200, 
624, 600, -24, -612, 324, 287, 224, 229, 229, 229, 322, 200, 
624, 600, -24, -612, 324, 287, 224, 229, 234, 234, 331, 200, 
624, 610, -14, -617, 319, 297, 219, 229, 234, 224, 331, 190, 
624, 614, -9, -619, 317, 302, 214, 229, 239, 234, 331, 190, 
624, 614, -9, -619, 317, 302, 214, 229, 239, 234, 331, 190, 
624, 614, -9, -619, 317, 302, 214, 234, 239, 239, 331, 195, 
624, 614, -9, -619, 317, 302, 219, 234, 244, 239, 326, 200, 
624, 614, -9, -619, 317, 302, 219, 244, 258, 244, 326, 200, 
624, 614, -9, -619, 317, 302, 219, 244, 263, 248, 326, 200, 
624, 614, -9, -619, 317, 302, 219, 244, 273, 248, 326, 200, 
629, 614, -14, -622, 322, 300, 200, 244, 268, 234, 336, 190, 
639, 624, -14, -631, 326, 305, 190, 248, 268, 234, 336, 190, 
639, 624, -14, -631, 326, 305, 185, 248, 268, 244, 341, 190, 
634, 619, -14, -627, 324, 302, 180, 253, 273, 244, 341, 190, 
644, 614, -29, -629, 336, 292, 161, 253, 268, 258, 341, 200, 
639, 624, -14, -631, 326, 305, 161, 253, 268, 258, 341, 204, 
639, 619, -19, -629, 329, 300, 161, 253, 278, 258, 346, 204, 
