I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
102, -9, -112, -46, 107, -61, 204, -141, -39, 165, 102, 209, 
102, -19, -122, -41, 112, -70, 204, -146, -39, 165, 102, 209, 
97, -19, -117, -39, 107, -68, 204, -146, -39, 165, 102, 209, 
97, -19, -117, -39, 107, -68, 204, -146, -43, 161, 102, 204, 
92, -29, -122, -31, 107, -75, 204, -146, -53, 161, 102, 204, 
92, -29, -122, -31, 107, -75, 204, -151, -48, 161, 102, 204, 
87, -29, -117, -29, 102, -73, 204, -151, -48, 161, 97, 204, 
87, -39, -126, -24, 107, -82, 204, -146, -48, 156, 97, 204, 
82, -39, -122, -21, 102, -80, 204, -156, -58, 146, 87, 200, 
82, -39, -122, -21, 102, -80, 204, -156, -58, 146, 92, 200, 
82, -39, -122, -21, 102, -80, 209, -156, -58, 151, 92, 200, 
87, -39, -126, -24, 107, -82, 214, -151, -63, 151, 92, 190, 
87, -39, -126, -24, 107, -82, 214, -151, -53, 151, 78, 200, 
82, -43, -126, -19, 104, -85, 214, -151, -58, 151, 73, 195, 
82, -48, -131, -17, 107, -90, 214, -151, -58, 151, 68, 190, 
82, -48, -131, -17, 107, -90, 214, -151, -63, 146, 68, 190, 
73, -58, -131, -7, 102, -95, 224, -151, -53, 141, 63, 180, 
73, -58, -131, -7, 102, -95, 224, -151, -53, 141, 63, 180, 
68, -58, -126, -4, 97, -92, 224, -151, -53, 141, 63, 180, 
68, -58, -126, -4, 97, -92, 224, -151, -53, 146, 63, 180, 
68, -58, -126, -4, 97, -92, 214, -146, -63, 136, 68, 175, 
68, -58, -126, -4, 97, -92, 214, -151, -63, 136, 68, 175, 
63, -58, -122, -2, 92, -90, 214, -151, -63, 136, 68, 175, 
63, -53, -117, -4, 90, -85, 219, -151, -58, 141, 73, 175, 
73, -53, -126, -9, 100, -90, 219, -151, -58, 151, 73, 185, 
73, -48, -122, -12, 97, -85, 219, -151, -53, 151, 73, 190, 
73, -43, -117, -14, 95, -80, 219, -151, -48, 151, 78, 195, 
73, -43, -117, -14, 95, -80, 219, -151, -48, 151, 78, 200, 
73, -43, -117, -14, 95, -80, 219, -151, -48, 151, 82, 200, 
73, -43, -117, -14, 95, -80, 219, -151, -48, 151, 82, 200, 
73, -43, -117, -14, 95, -80, 219, -151, -48, 151, 82, 200, 
73, -43, -117, -14, 95, -80, 214, -151, -48, 151, 82, 200, 
68, -29, -97, -19, 82, -63, 214, -161, -39, 151, 82, 190, 
68, -29, -97, -19, 82, -63, 219, -161, -39, 156, 82, 190, 
68, -29, -97, -19, 82, -63, 219, -156, -43, 156, 82, 190, 
68, -29, -97, -19, 82, -63, 214, -156, -43, 156, 82, 190, 
78, -39, -117, -19, 97, -78, 214, -156, -48, 146, 78, 190, 
73, -39, -112, -17, 92, -75, 219, -156, -48, 151, 78, 195, 
73, -39, -112, -17, 92, -75, 219, -156, -48, 151, 78, 195, 
73, -34, -107, -19, 90, -70, 219, -156, -43, 151, 78, 195, 
73, -24, -97, -24, 85, -61, 214, -146, -43, 151, 82, 204, 
73, -34, -107, -19, 90, -70, 204, -146, -43, 156, 92, 204, 
73, -24, -97, -24, 85, -61, 224, -146, -43, 156, 92, 204, 
68, -29, -97, -19, 82, -63, 229, -146, -39, 156, 87, 209, 
58, -29, -87, -14, 73, -58, 234, -146, -29, 156, 82, 195, 
39, -19, -58, -9, 48, -39, 273, -136, 4, 161, 78, 180, 
19, -14, -34, -2, 26, -24, 317, -122, 48, 175, 68, 170, 
4, -14, -19, 4, 12, -17, 351, -112, 82, 180, 58, 156, 
-4, 0, 4, 2, -4, 2, 375, -102, 112, 190, 48, 136, 
-24, 34, 58, -4, -41, 46, 414, -68, 156, 209, 58, 146, 
-34, 82, 117, -24, -75, 100, 424, -34, 175, 244, 78, 165, 
-24, 107, 131, -41, -78, 119, 434, 24, 195, 268, 107, 180, 
-9, 141, 151, -65, -80, 146, 444, 102, 224, 312, 151, 180, 
24, 200, 175, -112, -75, 187, 414, 141, 224, 370, 229, 239, 
78, 292, 214, -185, -68, 253, 336, 107, 195, 439, 341, 346, 
151, 429, 278, -290, -63, 353, 244, 68, 165, 541, 507, 488, 
219, 575, 356, -397, -68, 466, 136, 0, 146, 653, 697, 653, 
302, 732, 429, -517, -63, 580, -9, -102, 107, 766, 912, 854, 
400, 951, 551, -675, -75, 751, -219, -244, 48, 902, 1166, 1098, 
517, 1195, 678, -856, -80, 936, -468, -409, -9, 1049, 1429, 1381, 
600, 1395, 795, -997, -97, 1095, -697, -561, -87, 1180, 1668, 1620, 
668, 1507, 839, -1088, -85, 1173, -858, -644, -175, 1234, 1834, 1810, 
727, 1507, 780, -1117, -26, 1144, -941, -663, -258, 1215, 1898, 1942, 
