I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
87, 190, 102, -139, -7, 146, -9, 112, -19, 161, 175, 278, 
68, 185, 117, -126, -24, 151, -4, 112, -19, 161, 175, 278, 
78, 185, 107, -131, -14, 146, -4, 107, -24, 156, 170, 278, 
97, 185, 87, -141, 4, 136, -4, 107, -29, 156, 170, 273, 
107, 200, 92, -153, 7, 146, -9, 97, -24, 161, 175, 283, 
107, 200, 92, -153, 7, 146, -9, 97, -19, 165, 175, 283, 
92, 195, 102, -143, -4, 148, -9, 97, -14, 170, 180, 283, 
92, 195, 102, -143, -4, 148, -9, 97, -9, 170, 185, 283, 
82, 204, 122, -143, -19, 163, -9, 102, -9, 161, 185, 283, 
82, 200, 117, -141, -17, 158, -9, 107, -9, 165, 190, 283, 
53, 195, 141, -124, -43, 168, -9, 112, -9, 165, 190, 283, 
34, 195, 161, -114, -63, 178, -9, 112, -9, 165, 190, 283, 
48, 185, 136, -117, -43, 161, -9, 107, -19, 161, 180, 278, 
73, 190, 117, -131, -21, 153, -14, 97, -24, 161, 180, 278, 
102, 190, 87, -146, 7, 139, -14, 92, -29, 161, 180, 278, 
97, 190, 92, -143, 2, 141, -14, 87, -29, 161, 180, 278, 
146, 214, 68, -180, 39, 141, -29, 63, -39, 141, 161, 258, 
165, 209, 43, -187, 61, 126, -9, 82, -9, 161, 190, 278, 
39, 170, 131, -104, -46, 151, 14, 107, 14, 190, 219, 302, 
-48, 185, 234, -68, -141, 209, 14, 122, 19, 190, 229, 322, 
4, 234, 229, -119, -112, 231, 4, 117, -4, 175, 214, 317, 
102, 224, 122, -163, -9, 173, -14, 117, -9, 170, 204, 302, 
126, 200, 73, -163, 26, 136, -4, 126, -4, 180, 209, 307, 
112, 200, 87, -156, 12, 143, -4, 156, -4, 190, 219, 307, 
92, 195, 102, -143, -4, 148, -19, 175, -19, 180, 214, 307, 
146, 190, 43, -168, 51, 117, -34, 180, -24, 165, 204, 297, 
278, 185, -92, -231, 185, 46, -63, 209, -39, 156, 190, 268, 
400, 209, -190, -305, 295, 9, -87, 253, -39, 161, 180, 268, 
