I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
326, 175, -151, -251, 239, 12, 29, -507, 258, -1019, 4, 29, 
317, 175, -141, -246, 229, 17, 29, -507, 258, -1019, 4, 29, 
302, 170, -131, -236, 217, 19, 24, -502, 253, -1019, 4, 29, 
317, 170, -146, -244, 231, 12, 24, -502, 253, -1019, 4, 29, 
331, 156, -175, -244, 253, -9, 9, -512, 244, -1019, -9, 29, 
312, 141, -170, -226, 241, -14, 9, -522, 234, -1024, -14, 29, 
292, 122, -170, -207, 231, -24, 4, -531, 224, -1029, -14, 24, 
302, 107, -195, -204, 248, -43, -4, -541, 214, -1034, -19, 14, 
283, 112, -170, -197, 226, -29, -43, -570, 195, -1034, -24, 24, 
258, 122, -136, -190, 197, -7, -34, -570, 200, -1034, -24, 14, 
239, 131, -107, -185, 173, 12, 24, -522, 253, -995, 14, 53, 
253, 141, -112, -197, 183, 14, 63, -483, 287, -985, 34, 68, 
258, 151, -107, -204, 183, 21, 63, -473, 287, -1000, 14, 43, 
239, 151, -87, -195, 163, 31, 73, -444, 302, -1000, 4, 24, 
219, 151, -68, -185, 143, 41, 87, -414, 326, -990, 14, 19, 
219, 161, -58, -190, 139, 51, 92, -395, 351, -980, 14, 29, 
292, 180, -112, -236, 202, 34, 68, -390, 351, -980, 0, 0, 
341, 195, -146, -268, 244, 24, 58, -366, 366, -966, 0, 4, 
312, 209, -102, -261, 207, 53, 68, -317, 414, -897, 73, 63, 
307, 224, -82, -265, 195, 70, 58, -278, 453, -805, 151, 146, 
361, 239, -122, -300, 241, 58, 53, -239, 502, -717, 234, 219, 
434, 283, -151, -358, 292, 65, 48, -185, 566, -590, 361, 336, 
527, 322, -204, -424, 366, 58, -4, -175, 619, -439, 507, 473, 
619, 361, -258, -490, 439, 51, -73, -204, 658, -297, 644, 605, 
736, 400, -336, -568, 536, 31, -112, -195, 678, -224, 732, 692, 
858, 424, -434, -641, 646, -4, -151, -195, 649, -234, 722, 717, 
902, 395, -507, -649, 705, -56, -185, -219, 551, -361, 624, 658, 
912, 370, -541, -641, 727, -85, -234, -283, 439, -536, 497, 570, 
902, 380, -522, -641, 712, -70, -273, -361, 375, -639, 419, 517, 
844, 390, -453, -617, 649, -31, -292, -448, 351, -683, 390, 492, 
805, 380, -424, -592, 614, -21, -317, -556, 283, -785, 331, 448, 
766, 351, -414, -558, 590, -31, -307, -649, 175, -922, 244, 385, 
649, 297, -351, -473, 500, -26, -248, -702, 117, -1010, 185, 351, 
497, 229, -268, -363, 383, -19, -180, -702, 78, -1098, 107, 263, 
400, 200, -200, -300, 300, 0, -117, -673, 78, -1166, 14, 146, 
292, 161, -131, -226, 212, 14, -43, -624, 102, -1200, -48, 63, 
234, 107, -126, -170, 180, -9, -14, -566, 126, -1244, -122, -19, 
263, 112, -151, -187, 207, -19, 24, -473, 170, -1263, -165, -73, 
204, 102, -102, -153, 153, 0, 107, -326, 258, -1234, -165, -78, 
68, 48, -19, -58, 43, 14, 204, -185, 341, -1205, -161, -102, 
97, 4, -92, -51, 95, -43, 253, -78, 370, -1239, -209, -151, 
214, -19, -234, -97, 224, -126, 253, 4, 380, -1259, -239, -200, 
195, -34, -229, -80, 212, -131, 292, 97, 405, -1244, -234, -195, 
146, -14, -161, -65, 153, -87, 326, 185, 429, -1229, -209, -175, 
204, 0, -204, -102, 204, -102, 307, 175, 390, -1254, -219, -190, 
195, -48, -244, -73, 219, -146, 263, 117, 341, -1273, -248, -219, 
136, -58, -195, -39, 165, -126, 278, 131, 341, -1263, -244, -229, 
141, 9, -131, -75, 136, -61, 346, 195, 385, -1220, -209, -195, 
107, 19, -87, -63, 97, -34, 414, 253, 434, -1171, -175, -165, 
63, -9, -73, -26, 68, -41, 458, 322, 473, -1146, -161, -170, 
102, -4, -107, -48, 104, -56, 483, 390, 463, -1146, -165, -175, 
122, -24, -146, -48, 134, -85, 488, 400, 434, -1171, -180, -195, 
73, -58, -131, -7, 102, -95, 517, 414, 424, -1161, -170, -185, 
14, -43, -58, 14, 36, -51, 570, 444, 434, -1141, -151, -165, 
48, -53, -102, 2, 75, -78, 600, 453, 434, -1151, -161, -165, 
78, -97, -175, 9, 126, -136, 605, 473, 434, -1146, -165, -170, 
