I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-107, -165, -58, 136, -24, -112, 136, 126, 0, -68, -136, -156, 
-107, -165, -58, 136, -24, -112, 136, 126, 0, -68, -136, -156, 
-107, -165, -58, 136, -24, -112, 136, 126, 0, -68, -136, -156, 
-107, -165, -58, 136, -24, -112, 136, 126, 0, -68, -136, -156, 
-97, -156, -58, 126, -19, -107, 151, 156, 24, -43, -126, -141, 
-97, -156, -58, 126, -19, -107, 156, 175, 48, -29, -117, -136, 
-97, -156, -58, 126, -19, -107, 161, 195, 73, -14, -107, -131, 
-97, -156, -58, 126, -19, -107, 165, 214, 97, 0, -97, -126, 
-92, -146, -53, 119, -19, -100, 165, 244, 126, 29, -82, -117, 
-87, -146, -58, 117, -14, -102, 165, 273, 156, 48, -68, -117, 
-82, -146, -63, 114, -9, -104, 165, 302, 185, 68, -53, -117, 
-78, -146, -68, 112, -4, -107, 165, 331, 214, 87, -39, -117, 
-73, -126, -53, 100, -9, -90, 165, 370, 244, 117, -24, -112, 
-68, -107, -39, 87, -14, -73, 165, 400, 273, 136, -19, -107, 
-63, -87, -24, 75, -19, -56, 165, 429, 302, 156, -14, -102, 
-58, -68, -9, 63, -24, -39, 165, 458, 331, 175, -9, -97, 
-43, -53, -9, 48, -17, -31, 170, 497, 375, 204, 14, -87, 
-39, -39, 0, 39, -19, -19, 175, 536, 419, 234, 29, -78, 
-34, -24, 9, 29, -21, -7, 180, 575, 463, 263, 43, -68, 
-29, -9, 19, 19, -24, 4, 185, 614, 507, 292, 58, -58, 
-9, -4, 4, 7, -7, 0, 185, 658, 546, 336, 87, -48, 
0, 0, 0, 0, 0, 0, 185, 692, 585, 370, 107, -39, 
9, 4, -4, -7, 7, 0, 185, 727, 624, 405, 126, -29, 
19, 9, -9, -14, 14, 0, 185, 761, 663, 439, 146, -19, 
29, 34, 4, -31, 12, 19, 180, 785, 692, 463, 161, -9, 
39, 58, 19, -48, 9, 39, 175, 800, 712, 478, 175, 0, 
48, 82, 34, -65, 7, 58, 170, 814, 732, 492, 190, 9, 
58, 107, 48, -82, 4, 78, 165, 829, 751, 507, 204, 19, 
63, 126, 63, -95, 0, 95, 151, 844, 766, 522, 219, 24, 
68, 136, 68, -102, 0, 102, 146, 849, 771, 527, 224, 29, 
73, 146, 73, -109, 0, 109, 141, 854, 775, 531, 229, 34, 
78, 156, 78, -117, 0, 117, 136, 858, 780, 536, 234, 39, 
82, 141, 58, -112, 12, 100, 126, 844, 775, 536, 244, 43, 
87, 136, 48, -112, 19, 92, 126, 839, 771, 536, 244, 48, 
92, 131, 39, -112, 26, 85, 126, 834, 766, 536, 244, 53, 
