I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-1312, -1268, 43, 1290, -678, -612, -141, -273, -619, -566, -507, -673, 
-1312, -1268, 43, 1290, -678, -612, -141, -273, -619, -566, -517, -673, 
-1312, -1268, 43, 1290, -678, -612, -141, -273, -619, -561, -517, -673, 
-1312, -1268, 43, 1290, -678, -612, -141, -273, -614, -561, -512, -673, 
-1317, -1259, 58, 1288, -688, -600, -141, -283, -619, -566, -517, -683, 
-1322, -1259, 63, 1290, -692, -597, -136, -283, -624, -570, -522, -683, 
-1327, -1259, 68, 1293, -697, -595, -136, -283, -629, -575, -527, -683, 
-1332, -1259, 73, 1295, -702, -592, -136, -283, -634, -580, -531, -683, 
-1322, -1268, 53, 1295, -688, -607, -126, -273, -619, -580, -531, -683, 
-1327, -1268, 58, 1298, -692, -605, -126, -268, -619, -580, -531, -683, 
-1327, -1268, 58, 1298, -692, -605, -126, -268, -619, -580, -531, -683, 
-1327, -1268, 58, 1298, -692, -605, -126, -268, -619, -575, -531, -683, 
-1322, -1273, 48, 1298, -685, -612, -126, -258, -619, -566, -517, -673, 
-1322, -1273, 48, 1298, -685, -612, -126, -258, -614, -566, -517, -673, 
-1322, -1273, 48, 1298, -685, -612, -131, -263, -614, -566, -512, -673, 
-1322, -1273, 48, 1298, -685, -612, -131, -263, -614, -566, -512, -673, 
-1332, -1263, 68, 1298, -700, -597, -136, -273, -614, -566, -527, -673, 
-1332, -1263, 68, 1298, -700, -597, -136, -273, -614, -566, -527, -673, 
-1337, -1263, 73, 1300, -705, -595, -136, -273, -610, -566, -527, -673, 
-1337, -1263, 73, 1300, -705, -595, -136, -268, -610, -561, -527, -673, 
-1327, -1263, 63, 1295, -695, -600, -136, -268, -610, -561, -512, -673, 
-1327, -1263, 63, 1295, -695, -600, -136, -268, -610, -561, -512, -673, 
-1327, -1263, 63, 1295, -695, -600, -136, -268, -610, -561, -517, -673, 
-1327, -1263, 63, 1295, -695, -600, -136, -268, -610, -561, -517, -673, 
-1327, -1263, 63, 1295, -695, -600, -136, -268, -610, -561, -517, -673, 
-1327, -1254, 73, 1290, -700, -590, -126, -263, -595, -546, -512, -673, 
-1312, -1244, 68, 1278, -690, -588, -126, -263, -595, -536, -507, -668, 
-1317, -1234, 82, 1276, -700, -575, -136, -263, -575, -517, -497, -653, 
-1307, -1234, 73, 1271, -690, -580, -131, -248, -522, -468, -448, -629, 
-1283, -1220, 63, 1251, -673, -578, -136, -214, -419, -390, -400, -595, 
-1263, -1195, 68, 1229, -666, -563, -136, -170, -283, -283, -322, -541, 
-1229, -1161, 68, 1195, -649, -546, -156, -151, -112, -131, -209, -468, 
-1171, -1098, 73, 1134, -622, -512, -190, -161, 29, 48, -58, -375, 
-1127, -1034, 92, 1080, -610, -470, -234, -190, 126, 248, 112, -244, 
-1068, -956, 112, 1012, -590, -422, -307, -239, 151, 458, 287, -102, 
-1000, -868, 131, 934, -566, -368, -395, -292, 161, 673, 492, 58, 
