I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
224, 43, -180, -134, 202, -68, 283, -204, 190, -48, -380, -214, 
224, 34, -190, -129, 207, -78, 283, -204, 180, -48, -385, -214, 
219, 29, -190, -124, 204, -80, 283, -204, 180, -53, -385, -219, 
219, 24, -195, -122, 207, -85, 283, -204, 175, -58, -390, -224, 
219, 19, -200, -119, 209, -90, 287, -204, 165, -63, -395, -229, 
214, 9, -204, -112, 209, -97, 287, -204, 161, -73, -395, -229, 
214, 0, -214, -107, 214, -107, 287, -209, 161, -78, -395, -229, 
209, -4, -214, -102, 212, -109, 287, -209, 161, -82, -395, -229, 
209, 14, -195, -112, 202, -90, 287, -204, 165, -73, -390, -234, 
209, 19, -190, -114, 200, -85, 287, -204, 170, -68, -390, -234, 
214, 19, -195, -117, 204, -87, 287, -204, 170, -68, -390, -234, 
214, 14, -200, -114, 207, -92, 287, -204, 175, -78, -390, -239, 
204, 4, -200, -104, 202, -97, 278, -214, 175, -73, -400, -239, 
204, 4, -200, -104, 202, -97, 278, -214, 165, -73, -400, -244, 
204, 0, -204, -102, 204, -102, 278, -204, 165, -73, -405, -244, 
204, 0, -204, -102, 204, -102, 283, -204, 165, -73, -405, -239, 
209, 4, -204, -107, 207, -100, 273, -200, 165, -78, -395, -229, 
209, 14, -195, -112, 202, -90, 273, -200, 170, -78, -390, -229, 
209, 14, -195, -112, 202, -90, 273, -204, 170, -78, -390, -229, 
204, 14, -190, -109, 197, -87, 273, -204, 165, -82, -390, -229, 
224, 24, -200, -124, 212, -87, 268, -204, 165, -82, -395, -229, 
214, 14, -200, -114, 207, -92, 287, -195, 170, -73, -395, -239, 
209, 14, -195, -112, 202, -90, 297, -200, 170, -82, -390, -239, 
209, 19, -190, -114, 200, -85, 292, -214, 170, -82, -400, -248, 
185, 19, -165, -102, 175, -73, 283, -229, 170, -78, -395, -248, 
165, 34, -131, -100, 148, -48, 283, -234, 190, -58, -390, -234, 
165, 34, -131, -100, 148, -48, 302, -224, 200, -53, -375, -224, 
161, 43, -117, -102, 139, -36, 287, -239, 219, -43, -366, -219, 
175, 58, -117, -117, 146, -29, 283, -234, 248, -19, -341, -185, 
190, 63, -126, -126, 158, -31, 278, -224, 283, 19, -312, -156, 
209, 78, -131, -143, 170, -26, 273, -190, 317, 58, -287, -146, 
263, 107, -156, -185, 209, -24, 244, -151, 361, 97, -244, -117, 
361, 151, -209, -256, 285, -29, 200, -117, 405, 151, -185, -58, 
483, 161, -322, -322, 402, -80, 131, -92, 424, 190, -146, -9, 
590, 131, -458, -361, 524, -163, 78, -53, 414, 190, -136, 9, 
678, 126, -551, -402, 614, -212, 29, -39, 405, 175, -131, 19, 
746, 156, -590, -451, 668, -217, -9, -39, 400, 175, -122, 48, 
800, 156, -644, -478, 722, -244, -43, -43, 336, 136, -141, 48, 
844, 87, -756, -466, 800, -334, -43, -24, 190, 4, -229, -19, 
854, -53, -907, -400, 880, -480, -14, 4, -9, -200, -390, -141, 
800, -185, -985, -307, 893, -585, 29, -14, -185, -366, -546, -278, 
732, -234, -966, -248, 849, -600, 63, -78, -278, -439, -619, -351, 
673, -273, -946, -200, 810, -610, 92, -141, -336, -483, -668, -395, 
605, -322, -927, -141, 766, -624, 131, -195, -385, -527, -727, -444, 
492, -336, -829, -78, 661, -583, 165, -273, -385, -527, -736, -468, 
375, -317, -692, -29, 534, -505, 219, -366, -331, -488, -717, -463, 
278, -326, -605, 24, 441, -466, 268, -395, -307, -478, -722, -458, 
219, -395, -614, 87, 417, -505, 322, -341, -317, -497, -736, -488, 
200, -453, -653, 126, 427, -553, 390, -273, -326, -522, -761, -512, 
161, -463, -624, 151, 392, -544, 439, -239, -336, -527, -761, -531, 
136, -448, -585, 156, 361, -517, 448, -224, -322, -517, -756, -522, 
136, -429, -566, 146, 351, -497, 458, -204, -287, -483, -732, -507, 
151, -395, -546, 122, 348, -470, 478, -161, -258, -439, -707, -492, 
151, -336, -488, 92, 319, -412, 488, -92, -209, -395, -673, -478, 
161, -292, -453, 65, 307, -373, 497, -43, -136, -351, -629, -444, 
156, -258, -414, 51, 285, -336, 478, -24, -82, -297, -585, -405, 
161, -214, -375, 26, 268, -295, 463, -19, -39, -258, -570, -375, 
170, -165, -336, -2, 253, -251, 448, -29, 4, -224, -536, -356, 
200, -117, -317, -41, 258, -217, 439, -24, 53, -200, -502, -331, 
195, -87, -283, -53, 239, -185, 419, -29, 87, -170, -473, -302, 
185, -63, -248, -61, 217, -156, 375, -73, 117, -141, -439, -283, 
190, -29, -219, -80, 204, -124, 322, -117, 141, -107, -414, -258, 
200, -4, -204, -97, 202, -104, 312, -131, 156, -87, -400, -258, 
