I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-234, -214, 19, 224, -126, -97, 248, -122, -19, 29, 14, -39, 
-234, -190, 43, 212, -139, -73, 248, -97, 24, 53, 43, -9, 
-229, -156, 73, 192, -151, -41, 239, -73, 53, 82, 78, 19, 
-229, -112, 117, 170, -173, 2, 239, -58, 78, 112, 107, 58, 
-224, -68, 156, 146, -190, 43, 234, -48, 97, 146, 141, 102, 
-214, -24, 190, 119, -202, 82, 229, -39, 112, 170, 175, 136, 
-200, 19, 219, 90, -209, 119, 224, -29, 126, 200, 209, 175, 
-180, 73, 253, 53, -217, 163, 219, -14, 146, 224, 239, 200, 
-156, 112, 268, 21, -212, 190, 204, 4, 165, 239, 258, 219, 
-146, 141, 287, 2, -217, 214, 200, 19, 185, 258, 287, 239, 
-136, 175, 312, -19, -224, 244, 195, 34, 214, 278, 307, 253, 
-117, 209, 326, -46, -222, 268, 185, 39, 239, 287, 317, 258, 
-112, 224, 336, -56, -224, 280, 180, 34, 248, 307, 336, 263, 
-107, 239, 346, -65, -226, 292, 180, 34, 253, 322, 356, 283, 
-107, 263, 370, -78, -239, 317, 175, 34, 258, 331, 370, 302, 
-107, 278, 385, -85, -246, 331, 170, 19, 258, 336, 380, 317, 
-107, 287, 395, -90, -251, 341, 175, 14, 258, 346, 390, 326, 
-112, 297, 409, -92, -261, 353, 175, 19, 263, 356, 400, 341, 
-112, 312, 424, -100, -268, 368, 170, 19, 273, 366, 400, 341, 
-107, 322, 429, -107, -268, 375, 165, 9, 283, 370, 395, 341, 
-102, 331, 434, -114, -268, 383, 170, 9, 292, 375, 405, 341, 
-102, 341, 444, -119, -273, 392, 165, 9, 292, 375, 414, 336, 
-102, 351, 453, -124, -278, 402, 156, 4, 297, 380, 419, 341, 
-102, 366, 468, -131, -285, 417, 151, 0, 307, 390, 429, 346, 
-107, 361, 468, -126, -287, 414, 146, -4, 307, 400, 439, 361, 
-107, 366, 473, -129, -290, 419, 146, -9, 302, 405, 448, 380, 
-107, 390, 497, -141, -302, 444, 151, -14, 312, 419, 458, 400, 
-107, 409, 517, -151, -312, 463, 151, -19, 317, 429, 468, 405, 
-102, 419, 522, -158, -312, 470, 146, -19, 317, 444, 483, 405, 
-102, 419, 522, -158, -312, 470, 151, -19, 322, 444, 492, 414, 
-107, 424, 531, -158, -319, 478, 151, -24, 331, 448, 492, 419, 
-112, 424, 536, -156, -324, 480, 151, -24, 341, 458, 502, 424, 
-112, 429, 541, -158, -326, 485, 146, -24, 351, 473, 512, 429, 
-117, 439, 556, -161, -336, 497, 141, -29, 356, 473, 512, 434, 
-122, 453, 575, -165, -348, 514, 131, -43, 361, 473, 517, 448, 
-126, 468, 595, -170, -361, 531, 131, -53, 366, 483, 527, 458, 
-126, 488, 614, -180, -370, 551, 131, -58, 370, 492, 546, 473, 
-122, 507, 629, -192, -375, 568, 131, -63, 375, 497, 556, 483, 
-126, 517, 644, -195, -385, 580, 126, -68, 380, 507, 561, 488, 
-131, 522, 653, -195, -392, 588, 126, -68, 385, 517, 580, 492, 
-131, 531, 663, -200, -397, 597, 126, -73, 385, 527, 600, 497, 
-131, 541, 673, -204, -402, 607, 122, -78, 400, 531, 605, 507, 
-141, 541, 683, -200, -412, 612, 122, -82, 409, 541, 605, 522, 
-151, 546, 697, -197, -424, 622, 126, -87, 414, 556, 614, 527, 
-151, 551, 702, -200, -427, 627, 126, -87, 424, 561, 619, 541, 
-151, 561, 712, -204, -431, 636, 122, -92, 429, 566, 619, 556, 
-146, 580, 727, -217, -436, 653, 107, -102, 434, 575, 634, 570, 
-156, 590, 746, -217, -451, 668, 107, -117, 439, 585, 649, 585, 
-165, 595, 761, -214, -463, 678, 107, -122, 448, 595, 663, 600, 
-165, 614, 780, -224, -473, 697, 102, -126, 458, 600, 673, 614, 
-156, 624, 780, -234, -468, 702, 87, -126, 463, 610, 688, 614, 
-151, 624, 775, -236, -463, 700, 87, -131, 468, 624, 692, 614, 
