I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-351, 234, 585, 58, -468, 409, -126, -585, -156, 448, 322, -97, 
-351, 234, 585, 58, -468, 409, -126, -585, -156, 448, 322, -97, 
-356, 239, 595, 58, -475, 417, -122, -585, -151, 448, 317, -92, 
-356, 244, 600, 56, -478, 422, -122, -590, -151, 448, 317, -92, 
-351, 253, 605, 48, -478, 429, -117, -590, -156, 453, 317, -92, 
-346, 253, 600, 46, -473, 427, -122, -585, -156, 453, 317, -92, 
-346, 253, 600, 46, -473, 427, -122, -585, -151, 453, 317, -92, 
-346, 253, 600, 46, -473, 427, -126, -595, -151, 458, 317, -87, 
-346, 253, 600, 46, -473, 427, -131, -600, -146, 468, 322, -97, 
-346, 253, 600, 46, -473, 427, -136, -600, -141, 473, 326, -97, 
-341, 253, 595, 43, -468, 424, -146, -605, -141, 473, 326, -97, 
-341, 253, 595, 43, -468, 424, -151, -610, -146, 468, 322, -97, 
-351, 253, 605, 48, -478, 429, -141, -600, -146, 468, 322, -107, 
-351, 248, 600, 51, -475, 424, -141, -600, -146, 468, 322, -107, 
-351, 248, 600, 51, -475, 424, -141, -605, -151, 468, 322, -107, 
-356, 239, 595, 58, -475, 417, -146, -610, -156, 463, 322, -112, 
-356, 234, 590, 61, -473, 412, -146, -610, -170, 444, 307, -117, 
-346, 229, 575, 58, -461, 402, -146, -610, -175, 444, 307, -117, 
-346, 224, 570, 61, -458, 397, -146, -610, -175, 444, 307, -117, 
-346, 219, 566, 63, -456, 392, -146, -610, -175, 448, 307, -112, 
-351, 224, 575, 63, -463, 400, -146, -619, -165, 458, 322, -107, 
-346, 224, 570, 61, -458, 397, -146, -619, -165, 463, 326, -102, 
-341, 229, 570, 56, -456, 400, -156, -624, -170, 468, 336, -97, 
-341, 239, 580, 51, -461, 409, -161, -624, -170, 473, 346, -92, 
-331, 239, 570, 46, -451, 405, -151, -624, -170, 478, 341, -97, 
-326, 239, 566, 43, -446, 402, -151, -624, -175, 478, 341, -97, 
-322, 239, 561, 41, -441, 400, -151, -624, -175, 473, 341, -97, 
-322, 234, 556, 43, -439, 395, -146, -624, -185, 468, 336, -102, 
-336, 214, 551, 61, -444, 383, -146, -629, -195, 463, 331, -117, 
-336, 214, 551, 61, -444, 383, -151, -629, -204, 458, 317, -126, 
-336, 204, 541, 65, -439, 373, -156, -629, -214, 439, 302, -136, 
-336, 195, 531, 70, -434, 363, -161, -629, -219, 429, 292, -146, 
-346, 185, 531, 80, -439, 358, -156, -619, -229, 419, 283, -156, 
-346, 180, 527, 82, -436, 353, -156, -619, -234, 419, 283, -156, 
-351, 175, 527, 87, -439, 351, -151, -619, -234, 419, 283, -156, 
-356, 175, 531, 90, -444, 353, -146, -619, -239, 414, 283, -156, 
-366, 170, 536, 97, -451, 353, -141, -629, -234, 409, 283, -156, 
-366, 165, 531, 100, -448, 348, -141, -624, -234, 409, 283, -156, 
-361, 161, 522, 100, -441, 341, -141, -624, -239, 409, 283, -156, 
-361, 161, 522, 100, -441, 341, -141, -624, -244, 409, 273, -161, 
