I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
273, -68, -341, -102, 307, -204, 190, -58, 629, 48, -19, -78, 
273, -68, -341, -102, 307, -204, 190, -58, 629, 48, -19, -78, 
273, -68, -341, -102, 307, -204, 190, -58, 634, 48, -19, -78, 
273, -68, -341, -102, 307, -204, 190, -58, 639, 48, -19, -78, 
273, -63, -336, -104, 305, -200, 180, -58, 639, 48, -24, -82, 
278, -58, -336, -109, 307, -197, 185, -58, 639, 58, -24, -82, 
278, -58, -336, -109, 307, -197, 185, -58, 644, 58, -19, -82, 
278, -48, -326, -114, 302, -187, 185, -53, 644, 63, -14, -82, 
278, -58, -336, -109, 307, -197, 180, -53, 644, 53, -14, -78, 
283, -58, -341, -112, 312, -200, 175, -53, 644, 48, -14, -78, 
283, -58, -341, -112, 312, -200, 170, -58, 644, 48, -14, -78, 
287, -58, -346, -114, 317, -202, 156, -58, 639, 53, -14, -78, 
302, -43, -346, -129, 324, -195, 146, -68, 639, 63, -4, -68, 
307, -39, -346, -134, 326, -192, 126, -73, 634, 58, -4, -63, 
312, -39, -351, -136, 331, -195, 117, -73, 629, 58, -4, -63, 
312, -39, -351, -136, 331, -195, 117, -82, 624, 58, -4, -58, 
307, -48, -356, -129, 331, -202, 126, -92, 610, 48, -14, -68, 
307, -48, -356, -129, 331, -202, 122, -97, 610, 48, -14, -68, 
307, -43, -351, -131, 329, -197, 117, -102, 610, 48, -14, -68, 
317, -43, -361, -136, 339, -202, 117, -102, 610, 48, -4, -68, 
326, -34, -361, -146, 344, -197, 112, -102, 619, 48, -4, -53, 
326, -29, -356, -148, 341, -192, 112, -102, 614, 48, -4, -53, 
326, -29, -356, -148, 341, -192, 112, -102, 614, 48, -4, -58, 
326, -29, -356, -148, 341, -192, 102, -107, 614, 48, -4, -58, 
326, -29, -356, -148, 341, -192, 102, -107, 605, 48, -4, -58, 
326, -24, -351, -151, 339, -187, 102, -102, 600, 43, -4, -58, 
326, -19, -346, -153, 336, -183, 102, -102, 595, 43, -4, -53, 
326, -14, -341, -156, 334, -178, 107, -102, 590, 43, -9, -53, 
331, -14, -346, -158, 339, -180, 102, -92, 590, 39, -9, -53, 
331, -14, -346, -158, 339, -180, 97, -92, 590, 39, -9, -58, 
326, -9, -336, -158, 331, -173, 92, -92, 590, 34, -14, -58, 
322, -4, -326, -158, 324, -165, 87, -92, 590, 34, -14, -58, 
312, 9, -302, -161, 307, -146, 97, -102, 590, 24, -4, -48, 
302, 9, -292, -156, 297, -141, 102, -97, 585, 24, -9, -48, 
292, 9, -283, -151, 287, -136, 107, -97, 580, 19, -14, -53, 
283, 9, -273, -146, 278, -131, 112, -97, 575, 4, -24, -63, 
273, 0, -273, -136, 273, -136, 122, -97, 570, -4, -39, -63, 
273, -4, -278, -134, 275, -141, 122, -97, 570, -4, -39, -63, 
273, -4, -278, -134, 275, -141, 122, -97, 570, -9, -39, -63, 
268, -4, -273, -131, 270, -139, 122, -97, 570, -9, -39, -63, 
263, -24, -287, -119, 275, -156, 141, -97, 561, -9, -43, -73, 
258, -29, -287, -114, 273, -158, 146, -97, 566, -9, -43, -78, 
258, -29, -287, -114, 273, -158, 151, -97, 566, -4, -43, -82, 
258, -34, -292, -112, 275, -163, 156, -97, 566, 0, -43, -87, 
258, -34, -292, -112, 275, -163, 151, -92, 566, 0, -43, -78, 
258, -39, -297, -109, 278, -168, 156, -92, 570, 0, -39, -82, 
258, -48, -307, -104, 283, -178, 156, -97, 570, 0, -39, -82, 
253, -48, -302, -102, 278, -175, 161, -97, 570, 0, -39, -82, 
258, -63, -322, -97, 290, -192, 156, -97, 570, 4, -43, -92, 
