I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
19, 9, -9, -14, 14, 0, -68, -39, -24, -9, -19, 0, 
48, 29, -19, -39, 34, 4, -82, -43, -34, -9, -9, -4, 
43, 34, -9, -39, 26, 12, -78, -53, -43, -14, -9, 4, 
43, 9, -34, -26, 39, -12, -78, -68, -43, -34, -24, -14, 
34, 9, -24, -21, 29, -7, -73, -48, -43, -29, -24, -9, 
39, -4, -43, -17, 41, -24, -63, -53, -43, -39, -29, -24, 
29, -9, -39, -9, 34, -24, -48, -48, -29, -29, -19, -14, 
19, 4, -14, -12, 17, -4, -39, -39, -19, -19, -14, 9, 
29, -14, -43, -7, 36, -29, -34, -39, -34, -24, -19, -9, 
24, -43, -68, 9, 46, -56, -39, -43, -48, -39, -39, -14, 
24, -63, -87, 19, 56, -75, -48, -53, -63, -68, -58, -29, 
34, -63, -97, 14, 65, -80, -39, -48, -58, -53, -43, -24, 
39, -43, -82, 2, 61, -63, -53, -43, -53, -58, -48, -19, 
24, -48, -73, 12, 48, -61, -43, -24, -43, -43, -48, -14, 
39, -48, -87, 4, 63, -68, -48, -53, -68, -53, -48, -24, 
24, -43, -68, 9, 46, -56, -53, -43, -34, -39, -39, -19, 
14, -34, -48, 9, 31, -41, -34, -39, -34, -29, -19, 4, 
24, -43, -68, 9, 46, -56, -39, -43, -39, -39, -19, -14, 
0, -43, -43, 21, 21, -43, -29, -29, -29, -19, -19, -14, 
-9, -48, -39, 29, 14, -43, -29, -48, -34, -24, -19, -19, 
-19, -53, -34, 36, 7, -43, -24, -29, -29, -29, -34, -29, 
-9, -53, -43, 31, 17, -48, -19, -34, -48, -43, -48, -34, 
-4, -48, -43, 26, 19, -46, -24, -29, -34, -43, -39, -39, 
-19, -39, -19, 29, 0, -29, -9, -19, -19, -43, -48, -29, 
-9, -48, -39, 29, 14, -43, -9, -34, -39, -53, -53, -39, 
-14, -68, -53, 41, 19, -61, -14, -34, -34, -53, -63, -53, 
0, -68, -68, 34, 34, -68, -19, -48, -63, -63, -73, -53, 
4, -82, -87, 39, 46, -85, -14, -53, -58, -63, -68, -63, 
-14, -82, -68, 48, 26, -75, -14, -43, -58, -58, -73, -53, 
-4, -97, -92, 51, 43, -95, -14, -63, -78, -63, -68, -58, 
0, -97, -97, 48, 48, -97, -19, -53, -63, -63, -82, -78, 
-19, -78, -58, 48, 19, -68, -14, -39, -58, -53, -68, -53, 
-39, -73, -34, 56, -2, -53, -14, -29, -39, -39, -48, -43, 
-29, -58, -29, 43, 0, -43, -14, -29, -34, -48, -48, -39, 
-9, -68, -58, 39, 24, -63, -24, -48, -58, -58, -58, -48, 
-9, -73, -63, 41, 26, -68, -34, -39, -48, -53, -58, -58, 
-19, -63, -43, 41, 12, -53, -29, -48, -48, -58, -68, -58, 
-43, -82, -39, 63, -2, -61, -29, -48, -43, -43, -68, -63, 
-43, -68, -24, 56, -9, -46, -24, -43, -43, -43, -58, -43, 
-19, -73, -53, 46, 17, -63, -19, -48, -43, -43, -53, -43, 
-24, -78, -53, 51, 14, -65, -4, -39, -43, -53, -73, -58, 
-19, -78, -58, 48, 19, -68, -9, -39, -48, -58, -68, -53, 
-34, -73, -39, 53, 2, -56, -14, -29, -43, -43, -58, -53, 
-34, -73, -39, 53, 2, -56, 0, -24, -34, -48, -63, -48, 
-24, -87, -63, 56, 19, -75, 0, -29, -48, -48, -63, -48, 
-24, -73, -48, 48, 12, -61, -4, -19, -34, -39, -63, -48, 
-9, -58, -48, 34, 19, -53, -9, -34, -34, -39, -48, -39, 
-14, -68, -53, 41, 19, -61, -14, -39, -39, -39, -48, -48, 
-19, -68, -48, 43, 14, -58, -9, -34, -34, -43, -53, -43, 
-14, -78, -63, 46, 24, -70, -24, -48, -39, -43, -53, -48, 
-4, -63, -58, 34, 26, -61, -14, -29, -29, -43, -58, -53, 
-14, -63, -48, 39, 17, -56, 4, -19, -24, -34, -58, -48, 
-43, -68, -24, 56, -9, -46, 19, -9, -14, -24, -58, -68, 
-39, -48, -9, 43, -14, -29, 29, 0, 9, -24, -58, -58, 
-29, -53, -24, 41, -2, -39, 29, 14, 29, 4, -39, -53, 
-24, -39, -14, 31, -4, -26, 43, 58, 78, 48, -4, -34, 
0, -4, -4, 2, 2, -4, 43, 102, 146, 107, 19, -9, 
39, 24, -14, -31, 26, 4, 63, 204, 214, 170, 58, 4, 
48, 48, 0, -48, 24, 24, 97, 317, 297, 239, 97, 24, 
58, 68, 9, -63, 24, 39, 131, 424, 405, 326, 146, 48, 
92, 112, 19, -102, 36, 65, 151, 536, 512, 424, 200, 73, 
131, 165, 34, -148, 48, 100, 146, 605, 595, 517, 268, 141, 
190, 273, 82, -231, 53, 178, 122, 707, 712, 649, 385, 214, 
258, 405, 146, -331, 56, 275, 82, 761, 780, 741, 483, 307, 
273, 375, 102, -324, 85, 239, 82, 790, 736, 697, 468, 317, 
283, 268, -14, -275, 148, 126, 112, 805, 600, 536, 356, 263, 
322, 219, -102, -270, 212, 58, 82, 732, 424, 395, 273, 244, 
307, 229, -78, -268, 192, 75, 0, 570, 278, 273, 258, 287, 
302, 248, -53, -275, 178, 97, -73, 326, 78, 151, 248, 326, 
234, 229, -4, -231, 119, 112, -102, 19, -97, 34, 214, 331, 
126, 253, 126, -190, 0, 190, -151, -336, -224, -53, 209, 356, 
82, 297, 214, -190, -65, 256, -234, -610, -307, -117, 219, 380, 
39, 331, 292, -185, -126, 312, -287, -751, -351, -165, 214, 366, 
24, 356, 331, -190, -153, 344, -302, -829, -400, -209, 185, 366, 
-4, 322, 326, -158, -165, 324, -297, -849, -405, -224, 161, 322, 
-24, 302, 326, -139, -175, 314, -302, -805, -375, -234, 131, 283, 
-14, 278, 292, -131, -153, 285, -287, -766, -366, -219, 112, 268, 
-53, 209, 263, -78, -158, 236, -258, -727, -375, -244, 78, 219, 
-87, 126, 214, -19, -151, 170, -224, -688, -429, -283, 14, 165, 
-97, 43, 141, 26, -119, 92, -224, -673, -463, -322, -43, 102, 
-97, -14, 82, 56, -90, 34, -219, -629, -492, -356, -92, 58, 
-82, -39, 43, 61, -63, 2, -209, -585, -478, -336, -102, 34, 
-107, -58, 48, 82, -78, -4, -200, -546, -439, -331, -107, 9, 
-107, -82, 24, 95, -65, -29, -165, -507, -434, -336, -146, -29, 
-117, -107, 9, 112, -63, -48, -165, -483, -405, -331, -156, -68, 
-126, -97, 29, 112, -78, -34, -180, -448, -385, -317, -151, -73, 
-112, -82, 29, 97, -70, -26, -180, -414, -346, -273, -141, -68, 
-117, -78, 39, 97, -78, -19, -151, -351, -278, -229, -107, -53, 
-87, -34, 53, 61, -70, 9, -107, -278, -214, -170, -73, -19, 
-58, -19, 39, 39, -48, 9, -107, -229, -156, -117, -43, -14, 
-48, -9, 39, 29, -43, 14, -87, -175, -117, -87, -34, -4, 
-19, 4, 24, 7, -21, 14, -58, -136, -82, -53, -19, 4, 
-24, -4, 19, 14, -21, 7, -39, -112, -63, -53, -24, -4, 
4, 9, 4, -7, 0, 7, -34, -107, -82, -63, -34, -14, 
-9, 9, 19, 0, -14, 14, -34, -92, -68, -53, -34, -24, 
-9, -4, 4, 7, -7, 0, -24, -78, -73, -63, -39, -14, 
-4, -9, -4, 7, 0, -7, -9, -78, -58, -43, -24, -4, 
-34, -14, 19, 24, -26, 2, -4, -63, -53, -34, -24, -9, 
-19, -4, 14, 12, -17, 4, -4, -53, -48, -34, -29, -14, 
-19, -24, -4, 21, -7, -14, -4, -48, -34, -19, -19, -24, 
-24, -34, -9, 29, -7, -21, 14, -29, -19, -19, -14, -14, 
-14, -34, -19, 24, 2, -26, 9, -29, -29, -9, -19, -19, 
-29, -34, -4, 31, -12, -19, 9, -29, -24, -19, -29, -29, 
-9, -19, -9, 14, 0, -14, 9, -39, -29, -24, -19, -24, 
-14, -14, 0, 14, -7, -7, 4, -34, -24, -24, -19, -29, 
-4, 4, 9, 0, -7, 7, 9, -29, -34, -39, -24, -24, 
0, 9, 9, -4, -4, 9, 4, -29, -19, -24, -14, -19, 
-19, -4, 14, 12, -17, 4, 9, -14, -19, -29, -19, -24, 
-19, -14, 4, 17, -12, -4, 4, -9, -19, -14, -14, -9, 
-34, -29, 4, 31, -19, -12, 4, -9, -4, -9, -9, -14, 
-39, -29, 9, 34, -24, -9, 19, 4, 4, 0, -9, -4, 
-9, -19, -9, 14, 0, -14, 14, 4, 14, 9, 0, -4, 
-4, -14, -9, 9, 2, -12, 4, 4, 0, 9, -14, -4, 
-4, -14, -9, 9, 2, -12, 0, -4, 0, -9, -19, -14, 
-9, -14, -4, 12, -2, -9, 9, 4, -4, 0, -14, -4, 
-9, -9, 0, 9, -4, -4, 9, 4, 0, 4, -14, -19, 
-9, -4, 4, 7, -7, 0, 19, -9, 0, 0, -14, -24, 
-4, 9, 14, -2, -9, 12, 14, 4, 9, 9, -4, -19, 
-9, 9, 19, 0, -14, 14, 9, 0, 0, -4, -4, -24, 
-14, 0, 14, 7, -14, 7, -4, 0, -4, 0, -4, -24, 
-24, -9, 14, 17, -19, 2, 4, 19, 14, 14, 0, -14, 
-9, 0, 9, 4, -9, 4, 4, 14, 9, 4, -4, -9, 
0, 4, 4, -2, -2, 4, 4, 19, 9, 14, 0, 0, 
9, 9, 0, -9, 4, 4, -9, 9, 4, -4, -14, -19, 
-9, 9, 19, 0, -14, 14, 0, 4, 4, 9, -9, -9, 
-19, 9, 29, 4, -24, 19, 9, 14, 14, 14, 0, -4, 
-14, 14, 29, 0, -21, 21, 0, -4, 4, 0, -9, -9, 
-4, 4, 9, 0, -7, 7, 0, 9, 19, 9, 0, -14, 
-4, 24, 29, -9, -17, 26, -4, 4, 9, 14, 4, -14, 
-24, 19, 43, 2, -34, 31, 4, 19, 24, 24, 14, -4, 
-19, 0, 19, 9, -19, 9, 4, 24, 24, 14, 9, -4, 
0, 4, 4, -2, -2, 4, 0, 4, 9, 0, 4, -14, 
-9, 19, 29, -4, -19, 24, 14, 34, 34, 24, 19, 14, 
0, 14, 14, -7, -7, 14, -4, 19, 24, 9, 9, 4, 
-4, 19, 24, -7, -14, 21, -4, 19, 24, 14, 4, 4, 
-14, 19, 34, -2, -24, 26, 4, 29, 34, 24, 9, 0, 
-4, 39, 43, -17, -24, 41, 0, 14, 39, 34, 9, 4, 
-9, 34, 43, -12, -26, 39, 14, 48, 48, 48, 29, 9, 
0, 29, 29, -14, -14, 29, 4, 34, 34, 34, 24, 0, 
14, 19, 4, -17, 4, 12, 0, 24, 34, 34, 24, 4, 
4, 19, 14, -12, -4, 17, 9, 34, 43, 43, 29, 14, 
9, 39, 29, -24, -9, 34, 0, 24, 34, 34, 24, 4, 
9, 48, 39, -29, -14, 43, 4, 34, 39, 43, 29, 9, 
19, 39, 19, -29, 0, 29, -4, 34, 48, 39, 34, 9, 
14, 43, 29, -29, -7, 36, -14, 29, 39, 39, 24, -4, 
0, 43, 43, -21, -21, 43, 0, 24, 43, 29, 14, 0, 
-4, 43, 48, -19, -26, 46, -4, 34, 48, 39, 34, 4, 
-9, 34, 43, -12, -26, 39, 4, 48, 58, 53, 39, 14, 
9, 53, 43, -31, -17, 48, -14, 34, 48, 48, 34, 14, 
14, 48, 34, -31, -9, 41, -4, 39, 58, 53, 39, 14, 
0, 34, 34, -17, -17, 34, 9, 43, 58, 63, 39, 24, 
-4, 39, 43, -17, -24, 41, 0, 48, 48, 58, 43, 24, 
4, 48, 43, -26, -19, 46, 9, 53, 63, 63, 48, 39, 
14, 58, 43, -36, -14, 51, -14, 43, 53, 48, 39, 19, 
14, 68, 53, -41, -19, 61, 0, 53, 63, 63, 53, 39, 
19, 68, 48, -43, -14, 58, 4, 43, 68, 58, 48, 39, 
4, 78, 73, -41, -34, 75, 4, 43, 73, 68, 48, 34, 
9, 68, 58, -39, -24, 63, 9, 58, 78, 68, 48, 34, 
14, 68, 53, -41, -19, 61, 0, 53, 73, 63, 43, 43, 
9, 78, 68, -43, -29, 73, -9, 43, 63, 68, 53, 43, 
-9, 58, 68, -24, -39, 63, 9, 58, 78, 78, 68, 58, 
4, 63, 58, -34, -26, 61, 9, 68, 82, 82, 73, 63, 
24, 78, 53, -51, -14, 65, 0, 73, 78, 78, 63, 63, 
19, 68, 48, -43, -14, 58, 9, 82, 87, 73, 68, 58, 
19, 78, 58, -48, -19, 68, 9, 92, 92, 82, 78, 68, 
29, 73, 43, -51, -7, 58, 0, 82, 92, 87, 73, 63, 
24, 87, 63, -56, -19, 75, 4, 82, 97, 92, 82, 58, 
24, 82, 58, -53, -17, 70, -4, 97, 97, 102, 82, 58, 
14, 82, 68, -48, -26, 75, 9, 102, 102, 102, 92, 73, 
29, 107, 78, -68, -24, 92, 0, 92, 107, 97, 92, 73, 
