I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
97, 146, 48, -122, 24, 97, 97, 39, -9, -87, -29, -39, 
97, 146, 48, -122, 24, 97, 97, 39, -9, -87, -29, -39, 
97, 146, 48, -122, 24, 97, 97, 39, -9, -87, -29, -39, 
97, 146, 48, -122, 24, 97, 97, 39, -9, -87, -29, -39, 
97, 156, 58, -126, 19, 107, 97, 48, 0, -87, -19, -29, 
97, 156, 58, -126, 19, 107, 97, 48, 0, -87, -19, -29, 
97, 156, 58, -126, 19, 107, 97, 48, 0, -87, -19, -29, 
97, 156, 58, -126, 19, 107, 97, 48, 0, -87, -19, -29, 
97, 165, 68, -131, 14, 117, 97, 58, 9, -82, -9, -19, 
97, 165, 68, -131, 14, 117, 97, 58, 9, -78, -9, -19, 
97, 165, 68, -131, 14, 117, 97, 58, 9, -73, -9, -19, 
97, 165, 68, -131, 14, 117, 97, 58, 9, -68, -9, -19, 
107, 165, 58, -136, 24, 112, 97, 63, 19, -58, 0, -14, 
107, 165, 58, -136, 24, 112, 97, 68, 19, -58, 0, -9, 
107, 165, 58, -136, 24, 112, 97, 73, 19, -58, 0, -4, 
107, 165, 58, -136, 24, 112, 97, 78, 19, -58, 0, 0, 
117, 175, 58, -146, 29, 117, 97, 82, 24, -53, 9, 0, 
117, 175, 58, -146, 29, 117, 97, 87, 29, -48, 9, 0, 
117, 175, 58, -146, 29, 117, 97, 92, 34, -43, 9, 0, 
117, 175, 58, -146, 29, 117, 97, 97, 39, -39, 9, 0, 
117, 185, 68, -151, 24, 126, 87, 102, 48, -29, 19, 0, 
117, 185, 68, -151, 24, 126, 87, 107, 48, -29, 19, 0, 
117, 185, 68, -151, 24, 126, 87, 112, 48, -29, 19, 0, 
117, 185, 68, -151, 24, 126, 87, 117, 48, -29, 19, 0, 
126, 190, 63, -158, 31, 126, 97, 126, 58, -24, 29, 9, 
126, 195, 68, -161, 29, 131, 97, 126, 58, -19, 29, 9, 
126, 200, 73, -163, 26, 136, 97, 126, 58, -14, 29, 9, 
126, 204, 78, -165, 24, 141, 97, 126, 58, -9, 29, 9, 
136, 214, 78, -175, 29, 146, 97, 141, 63, 0, 39, 19, 
136, 214, 78, -175, 29, 146, 97, 146, 68, 0, 39, 19, 
136, 214, 78, -175, 29, 146, 97, 151, 73, 0, 39, 19, 
136, 214, 78, -175, 29, 146, 97, 156, 78, 0, 39, 19, 
146, 229, 82, -187, 31, 156, 97, 161, 82, 14, 43, 29, 
146, 234, 87, -190, 29, 161, 97, 165, 87, 19, 48, 29, 
146, 239, 92, -192, 26, 165, 97, 170, 92, 24, 53, 29, 
146, 244, 97, -195, 24, 170, 97, 175, 97, 29, 58, 29, 
156, 248, 92, -202, 31, 170, 87, 190, 102, 34, 63, 34, 
156, 253, 97, -204, 29, 175, 87, 195, 107, 39, 68, 39, 
156, 258, 102, -207, 26, 180, 87, 200, 112, 43, 73, 43, 
156, 263, 107, -209, 24, 185, 87, 204, 117, 48, 78, 48, 
161, 268, 107, -214, 26, 187, 87, 209, 122, 53, 82, 53, 
165, 273, 107, -219, 29, 190, 87, 214, 126, 58, 87, 58, 
170, 278, 107, -224, 31, 192, 87, 219, 131, 63, 92, 63, 
175, 283, 107, -229, 34, 195, 87, 224, 136, 68, 97, 68, 
180, 297, 117, -239, 31, 207, 78, 234, 136, 73, 112, 82, 
185, 302, 117, -244, 34, 209, 78, 234, 136, 78, 117, 87, 
190, 307, 117, -248, 36, 212, 78, 234, 136, 82, 122, 92, 
195, 312, 117, -253, 39, 214, 78, 234, 136, 87, 126, 97, 
204, 322, 117, -263, 43, 219, 68, 234, 146, 92, 131, 112, 
204, 331, 126, -268, 39, 229, 68, 234, 146, 97, 136, 117, 
204, 341, 136, -273, 34, 239, 68, 234, 146, 102, 141, 122, 
204, 351, 146, -278, 29, 248, 68, 234, 146, 107, 146, 126, 
214, 366, 151, -290, 31, 258, 53, 224, 156, 112, 151, 141, 
214, 370, 156, -292, 29, 263, 48, 224, 156, 117, 156, 146, 
214, 375, 161, -295, 26, 268, 43, 224, 156, 122, 161, 151, 
214, 380, 165, -297, 24, 273, 39, 224, 156, 126, 165, 156, 
219, 390, 170, -305, 24, 280, 34, 209, 151, 136, 180, 165, 
224, 400, 175, -312, 24, 287, 29, 204, 146, 136, 185, 175, 
229, 409, 180, -319, 24, 295, 24, 200, 141, 136, 190, 185, 
234, 419, 185, -326, 24, 302, 19, 195, 136, 136, 195, 195, 
244, 424, 180, -334, 31, 302, 14, 185, 126, 136, 200, 204, 
244, 429, 185, -336, 29, 307, 9, 175, 126, 136, 204, 204, 
244, 434, 190, -339, 26, 312, 4, 165, 126, 136, 209, 204, 
244, 439, 195, -341, 24, 317, 0, 156, 126, 136, 214, 204, 
244, 444, 200, -344, 21, 322, -14, 136, 122, 126, 214, 209, 
244, 448, 204, -346, 19, 326, -19, 126, 117, 126, 214, 214, 
244, 453, 209, -348, 17, 331, -24, 117, 112, 126, 214, 219, 
244, 458, 214, -351, 14, 336, -29, 107, 107, 126, 214, 224, 
244, 463, 219, -353, 12, 341, -43, 87, 92, 112, 214, 224, 
244, 468, 224, -356, 9, 346, -48, 68, 87, 107, 214, 224, 
244, 473, 229, -358, 7, 351, -53, 48, 82, 102, 214, 224, 
244, 478, 234, -361, 4, 356, -58, 29, 78, 97, 214, 224, 
239, 468, 229, -353, 4, 348, -68, 14, 68, 87, 204, 224, 
234, 468, 234, -351, 0, 351, -68, 0, 58, 87, 204, 224, 
229, 468, 239, -348, -4, 353, -68, -14, 48, 87, 204, 224, 
224, 468, 244, -346, -9, 356, -68, -29, 39, 87, 204, 224, 
219, 448, 229, -334, -4, 339, -58, -39, 29, 73, 200, 209, 
214, 439, 224, -326, -4, 331, -58, -48, 29, 68, 195, 204, 
209, 429, 219, -319, -4, 324, -58, -58, 29, 63, 190, 200, 
204, 419, 214, -312, -4, 317, -58, -68, 29, 58, 185, 195, 
200, 405, 204, -302, -2, 305, -43, -73, 19, 43, 170, 175, 
195, 390, 195, -292, 0, 292, -39, -78, 9, 29, 156, 165, 
190, 375, 185, -283, 2, 280, -34, -82, 0, 14, 141, 156, 
185, 361, 175, -273, 4, 268, -29, -87, -9, 0, 126, 146, 
170, 346, 175, -258, -2, 261, -14, -97, -14, -4, 112, 136, 
165, 331, 165, -248, 0, 248, -9, -97, -19, -9, 107, 126, 
161, 317, 156, -239, 2, 236, -4, -97, -24, -14, 102, 117, 
156, 302, 146, -229, 4, 224, 0, -97, -29, -19, 97, 107, 
151, 283, 131, -217, 9, 207, 4, -97, -39, -29, 78, 97, 
146, 273, 126, -209, 9, 200, 9, -97, -39, -39, 68, 87, 
141, 263, 122, -202, 9, 192, 14, -97, -39, -48, 58, 78, 
136, 253, 117, -195, 9, 185, 19, -97, -39, -58, 48, 68, 
131, 244, 112, -187, 9, 178, 34, -97, -43, -63, 34, 58, 
126, 234, 107, -180, 9, 170, 39, -97, -48, -68, 29, 48, 
122, 224, 102, -173, 9, 163, 43, -97, -53, -73, 24, 39, 
117, 214, 97, -165, 9, 156, 48, -97, -58, -78, 19, 29, 
107, 204, 97, -156, 4, 151, 58, -97, -68, -82, 14, 24, 
107, 195, 87, -151, 9, 141, 58, -97, -68, -87, 9, 19, 
107, 185, 78, -146, 14, 131, 58, -97, -68, -92, 4, 14, 
107, 175, 68, -141, 19, 122, 58, -97, -68, -97, 0, 9, 
107, 165, 58, -136, 24, 112, 68, -87, -73, -112, -4, 4, 
107, 165, 58, -136, 24, 112, 68, -87, -78, -117, -9, 0, 
107, 165, 58, -136, 24, 112, 68, -87, -82, -122, -14, -4, 
107, 165, 58, -136, 24, 112, 68, -87, -87, -126, -19, -9, 
102, 161, 58, -131, 21, 109, 78, -87, -87, -126, -29, -19, 
97, 156, 58, -126, 19, 107, 78, -87, -87, -126, -29, -19, 
92, 151, 58, -122, 17, 104, 78, -87, -87, -126, -29, -19, 
87, 146, 58, -117, 14, 102, 78, -87, -87, -126, -29, -19, 
87, 136, 48, -112, 19, 92, 87, -87, -87, -117, -39, -19, 
87, 136, 48, -112, 19, 92, 87, -87, -87, -117, -39, -19, 
87, 136, 48, -112, 19, 92, 87, -87, -87, -117, -39, -19, 
87, 136, 48, -112, 19, 92, 87, -87, -87, -117, -39, -19, 
87, 136, 48, -112, 19, 92, 87, -87, -87, -126, -48, -29, 
87, 136, 48, -112, 19, 92, 87, -87, -87, -126, -48, -29, 
87, 136, 48, -112, 19, 92, 87, -87, -87, -126, -48, -29, 
87, 136, 48, -112, 19, 92, 87, -87, -87, -126, -48, -29, 
97, 126, 29, -112, 34, 78, 97, -87, -87, -126, -48, -29, 
97, 126, 29, -112, 34, 78, 97, -87, -87, -126, -48, -29, 
97, 126, 29, -112, 34, 78, 97, -87, -87, -126, -48, -29, 
97, 126, 29, -112, 34, 78, 97, -87, -87, -126, -48, -29, 
97, 126, 29, -112, 34, 78, 87, -87, -87, -126, -58, -39, 
97, 126, 29, -112, 34, 78, 87, -87, -87, -126, -58, -39, 
