I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
9, 9, 0, -9, 4, 4, -117, -107, -107, 39, 117, 78, 
9, 9, 0, -9, 4, 4, -117, -107, -107, 39, 117, 78, 
9, 9, 0, -9, 4, 4, -117, -107, -107, 39, 117, 78, 
9, 9, 0, -9, 4, 4, -117, -107, -107, 39, 117, 78, 
19, 19, 0, -19, 9, 9, -117, -112, -97, 48, 122, 78, 
19, 19, 0, -19, 9, 9, -117, -117, -97, 48, 126, 78, 
19, 19, 0, -19, 9, 9, -117, -122, -97, 48, 131, 78, 
19, 19, 0, -19, 9, 9, -117, -126, -97, 48, 136, 78, 
29, 29, 0, -29, 14, 14, -131, -136, -97, 53, 151, 87, 
29, 29, 0, -29, 14, 14, -136, -136, -97, 58, 156, 87, 
29, 29, 0, -29, 14, 14, -141, -136, -97, 63, 161, 87, 
29, 29, 0, -29, 14, 14, -146, -136, -97, 68, 165, 87, 
34, 34, 0, -34, 17, 17, -151, -141, -87, 73, 175, 102, 
39, 39, 0, -39, 19, 19, -156, -146, -87, 78, 185, 107, 
43, 43, 0, -43, 21, 21, -161, -151, -87, 82, 195, 112, 
48, 48, 0, -48, 24, 24, -165, -156, -87, 87, 204, 117, 
58, 58, 0, -58, 29, 29, -170, -165, -87, 102, 209, 131, 
58, 58, 0, -58, 29, 29, -175, -165, -87, 107, 214, 136, 
58, 58, 0, -58, 29, 29, -180, -165, -87, 112, 219, 141, 
58, 58, 0, -58, 29, 29, -185, -165, -87, 117, 224, 146, 
63, 73, 9, -68, 26, 41, -190, -175, -78, 117, 229, 156, 
68, 78, 9, -73, 29, 43, -195, -175, -78, 117, 234, 156, 
73, 82, 9, -78, 31, 46, -200, -175, -78, 117, 239, 156, 
78, 87, 9, -82, 34, 48, -204, -175, -78, 117, 244, 156, 
87, 97, 9, -92, 39, 53, -219, -180, -78, 122, 253, 161, 
87, 97, 9, -92, 39, 53, -224, -185, -78, 126, 253, 165, 
87, 97, 9, -92, 39, 53, -229, -190, -78, 131, 253, 170, 
87, 97, 9, -92, 39, 53, -234, -195, -78, 136, 253, 175, 
92, 107, 14, -100, 39, 61, -239, -204, -73, 151, 268, 185, 
97, 107, 9, -102, 43, 58, -244, -204, -68, 156, 273, 185, 
102, 107, 4, -104, 48, 56, -248, -204, -63, 161, 278, 185, 
107, 107, 0, -107, 53, 53, -253, -204, -58, 165, 283, 185, 
107, 112, 4, -109, 51, 58, -258, -195, -48, 170, 287, 190, 
107, 117, 9, -112, 48, 63, -263, -195, -48, 175, 292, 195, 
107, 122, 14, -114, 46, 68, -268, -195, -48, 180, 297, 200, 
107, 126, 19, -117, 43, 73, -273, -195, -48, 185, 302, 204, 
117, 131, 14, -124, 51, 73, -283, -204, -43, 190, 307, 214, 
117, 136, 19, -126, 48, 78, -283, -204, -39, 195, 312, 214, 
117, 141, 24, -129, 46, 82, -283, -204, -34, 200, 317, 214, 
117, 146, 29, -131, 43, 87, -283, -204, -29, 204, 322, 214, 
117, 156, 39, -136, 39, 97, -292, -200, -24, 195, 322, 224, 
117, 156, 39, -136, 39, 97, -292, -195, -19, 195, 322, 224, 
117, 156, 39, -136, 39, 97, -292, -190, -14, 195, 322, 224, 
117, 156, 39, -136, 39, 97, -292, -185, -9, 195, 322, 224, 
107, 146, 39, -126, 34, 92, -292, -170, 4, 200, 331, 234, 
107, 146, 39, -126, 34, 92, -292, -165, 9, 204, 331, 234, 
107, 146, 39, -126, 34, 92, -292, -161, 14, 209, 331, 234, 
107, 146, 39, -126, 34, 92, -292, -156, 19, 214, 331, 234, 
117, 156, 39, -136, 39, 97, -292, -151, 24, 219, 341, 244, 
117, 156, 39, -136, 39, 97, -292, -146, 29, 224, 341, 244, 
117, 156, 39, -136, 39, 97, -292, -141, 34, 229, 341, 244, 
117, 156, 39, -136, 39, 97, -292, -136, 39, 234, 341, 244, 
107, 165, 58, -136, 24, 112, -292, -131, 48, 224, 331, 234, 
107, 165, 58, -136, 24, 112, -292, -126, 48, 224, 331, 234, 
107, 165, 58, -136, 24, 112, -292, -122, 48, 224, 331, 234, 
107, 165, 58, -136, 24, 112, -292, -117, 48, 224, 331, 234, 
97, 175, 78, -136, 9, 126, -283, -112, 53, 224, 322, 229, 
97, 175, 78, -136, 9, 126, -283, -107, 58, 224, 322, 224, 
97, 175, 78, -136, 9, 126, -283, -102, 63, 224, 322, 219, 
