I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-146, -1171, -1024, 658, 439, -1098, 439, 536, 673, 312, 434, 697, 
-156, -1176, -1019, 666, 431, -1098, 444, 536, 668, 302, 429, 697, 
-165, -1176, -1010, 671, 422, -1093, 448, 541, 653, 297, 429, 697, 
-170, -1190, -1019, 680, 424, -1105, 453, 541, 649, 287, 419, 692, 
-190, -1205, -1015, 697, 412, -1110, 463, 551, 639, 278, 414, 697, 
-204, -1200, -995, 702, 395, -1098, 468, 546, 634, 278, 419, 702, 
-214, -1185, -971, 700, 378, -1078, 483, 551, 639, 283, 424, 707, 
-234, -1180, -946, 707, 356, -1063, 488, 546, 634, 278, 419, 697, 
-234, -1190, -956, 712, 361, -1073, 478, 527, 610, 258, 405, 678, 
-239, -1190, -951, 714, 356, -1071, 488, 517, 610, 253, 400, 678, 
-244, -1200, -956, 722, 356, -1078, 488, 517, 610, 253, 400, 678, 
-248, -1215, -966, 732, 358, -1090, 488, 517, 605, 248, 395, 668, 
-253, -1205, -951, 729, 348, -1078, 488, 517, 605, 244, 380, 653, 
-253, -1210, -956, 732, 351, -1083, 497, 527, 600, 239, 375, 653, 
-263, -1220, -956, 741, 346, -1088, 497, 512, 595, 229, 370, 644, 
-258, -1234, -976, 746, 358, -1105, 497, 512, 570, 214, 361, 629, 
-263, -1244, -980, 753, 358, -1112, 507, 502, 566, 209, 361, 629, 
-268, -1244, -976, 756, 353, -1110, 507, 502, 566, 204, 361, 624, 
-287, -1254, -966, 771, 339, -1110, 507, 492, 551, 195, 341, 614, 
-297, -1259, -961, 778, 331, -1110, 507, 492, 551, 190, 341, 610, 
-292, -1249, -956, 771, 331, -1102, 522, 483, 551, 190, 331, 610, 
-287, -1259, -971, 773, 341, -1115, 522, 488, 551, 190, 331, 600, 
-287, -1263, -976, 775, 344, -1119, 531, 492, 546, 185, 331, 595, 
-287, -1263, -976, 775, 344, -1119, 536, 492, 546, 185, 326, 595, 
-292, -1259, -966, 775, 336, -1112, 541, 497, 546, 185, 322, 595, 
-292, -1254, -961, 773, 334, -1107, 541, 502, 546, 180, 322, 590, 
-297, -1254, -956, 775, 329, -1105, 541, 507, 541, 175, 317, 585, 
-302, -1254, -951, 778, 324, -1102, 541, 507, 531, 165, 312, 575, 
-287, -1268, -980, 778, 346, -1124, 541, 507, 531, 161, 302, 580, 
-287, -1273, -985, 780, 348, -1129, 541, 507, 531, 161, 302, 575, 
-287, -1288, -1000, 788, 356, -1144, 541, 507, 531, 161, 307, 575, 
-292, -1283, -990, 788, 348, -1137, 546, 507, 536, 161, 307, 580, 
-302, -1283, -980, 793, 339, -1132, 541, 502, 527, 151, 307, 570, 
-302, -1288, -985, 795, 341, -1137, 536, 497, 527, 151, 312, 566, 
-302, -1298, -995, 800, 346, -1146, 536, 492, 527, 151, 312, 566, 
-297, -1298, -1000, 797, 351, -1149, 531, 488, 517, 146, 307, 561, 
-278, -1288, -1010, 783, 366, -1149, 517, 488, 507, 136, 297, 561, 
