I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-253, -341, -87, 297, -82, -214, 361, 644, -107, -488, 87, -429, 
-253, -341, -87, 297, -82, -214, 361, 644, -107, -488, 87, -429, 
-253, -341, -87, 297, -82, -214, 361, 644, -107, -488, 87, -429, 
-253, -341, -87, 297, -82, -214, 361, 644, -107, -488, 87, -429, 
-258, -331, -73, 295, -92, -202, 380, 619, -112, -483, 112, -414, 
-263, -331, -68, 297, -97, -200, 390, 595, -117, -478, 126, -400, 
-268, -331, -63, 300, -102, -197, 400, 570, -122, -473, 141, -385, 
-273, -331, -58, 302, -107, -195, 409, 546, -126, -468, 156, -370, 
-263, -341, -78, 302, -92, -209, 419, 473, -165, -458, 156, -385, 
-263, -341, -78, 302, -92, -209, 419, 409, -195, -458, 156, -390, 
-263, -341, -78, 302, -92, -209, 419, 346, -224, -458, 156, -395, 
-263, -341, -78, 302, -92, -209, 419, 283, -253, -458, 156, -400, 
-248, -336, -87, 292, -80, -212, 395, 239, -244, -444, 165, -375, 
-244, -331, -87, 287, -78, -209, 370, 195, -244, -429, 175, -361, 
-239, -326, -87, 283, -75, -207, 346, 151, -244, -414, 185, -346, 
-234, -322, -87, 278, -73, -204, 322, 107, -244, -400, 195, -331, 
-209, -297, -87, 253, -61, -192, 297, 87, -234, -385, 219, -307, 
-195, -283, -87, 239, -53, -185, 273, 68, -234, -370, 234, -292, 
-180, -268, -87, 224, -46, -178, 248, 48, -234, -356, 248, -278, 
-165, -253, -87, 209, -39, -170, 224, 29, -234, -341, 263, -263, 
-146, -234, -87, 190, -29, -161, 190, 0, -209, -326, 283, -244, 
-136, -214, -78, 175, -29, -146, 165, -19, -195, -312, 292, -224, 
-126, -195, -68, 161, -29, -131, 141, -39, -180, -297, 302, -204, 
-117, -175, -58, 146, -29, -117, 117, -58, -165, -283, 312, -185, 
-92, -161, -68, 126, -12, -114, 92, -78, -151, -273, 326, -165, 
-78, -146, -68, 112, -4, -107, 68, -87, -146, -263, 331, -156, 
-63, -131, -68, 97, 2, -100, 43, -97, -141, -253, 336, -146, 
-48, -117, -68, 82, 9, -92, 19, -107, -136, -244, 341, -136, 
-58, -107, -48, 82, -4, -78, 4, -112, -141, -234, 341, -141, 
-58, -107, -48, 82, -4, -78, 0, -117, -146, -234, 341, -146, 
-58, -107, -48, 82, -4, -78, -4, -122, -151, -234, 341, -151, 
-58, -107, -48, 82, -4, -78, -9, -126, -156, -234, 341, -156, 
-68, -107, -39, 87, -14, -73, -19, -136, -156, -234, 336, -156, 
-68, -107, -39, 87, -14, -73, -19, -136, -156, -234, 331, -156, 
-68, -107, -39, 87, -14, -73, -19, -136, -156, -234, 326, -156, 
-68, -107, -39, 87, -14, -73, -19, -136, -156, -234, 322, -156, 
-68, -102, -34, 85, -17, -68, -29, -151, -170, -234, 307, -161, 
-68, -97, -29, 82, -19, -63, -29, -156, -175, -234, 302, -165, 
-68, -92, -24, 80, -21, -58, -29, -161, -180, -234, 297, -170, 
-68, -87, -19, 78, -24, -53, -29, -165, -185, -234, 292, -175, 
-73, -78, -4, 75, -34, -41, -29, -170, -190, -224, 287, -180, 
-78, -78, 0, 78, -39, -39, -29, -175, -195, -224, 283, -185, 
-82, -78, 4, 80, -43, -36, -29, -180, -200, -224, 278, -190, 
-87, -78, 9, 82, -48, -34, -29, -185, -204, -224, 273, -195, 
-78, -78, 0, 78, -39, -39, -39, -190, -204, -234, 268, -195, 
-78, -78, 0, 78, -39, -39, -39, -195, -204, -234, 263, -195, 
-78, -78, 0, 78, -39, -39, -39, -200, -204, -234, 258, -195, 
-78, -78, 0, 78, -39, -39, -39, -204, -204, -234, 253, -195, 
-78, -63, 14, 70, -46, -24, -48, -214, -209, -224, 244, -204, 
-78, -58, 19, 68, -48, -19, -48, -214, -214, -224, 244, -204, 
-78, -53, 24, 65, -51, -14, -48, -214, -219, -224, 244, -204, 
-78, -48, 29, 63, -53, -9, -48, -214, -224, -224, 244, -204, 
-68, -43, 24, 56, -46, -9, -58, -229, -229, -214, 239, -214, 
-68, -39, 29, 53, -48, -4, -58, -234, -234, -214, 234, -214, 
-68, -34, 34, 51, -51, 0, -58, -239, -239, -214, 229, -214, 
-68, -29, 39, 48, -53, 4, -58, -244, -244, -214, 224, -214, 
-58, -29, 29, 43, -43, 0, -68, -248, -248, -224, 219, -224, 
-58, -29, 29, 43, -43, 0, -68, -253, -253, -224, 214, -224, 
-58, -29, 29, 43, -43, 0, -68, -258, -258, -224, 209, -224, 
-58, -29, 29, 43, -43, 0, -68, -263, -263, -224, 204, -224, 
-48, -29, 19, 39, -34, -4, -68, -268, -268, -214, 200, -234, 
-48, -29, 19, 39, -34, -4, -68, -273, -273, -214, 195, -234, 
-48, -29, 19, 39, -34, -4, -68, -278, -278, -214, 190, -234, 
