I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-405, -58, 346, 231, -375, 143, 180, 195, -175, -63, 165, 4, 
-405, -58, 346, 231, -375, 143, 180, 195, -175, -63, 165, 4, 
-405, -58, 346, 231, -375, 143, 170, 195, -175, -58, 165, 9, 
-405, -53, 351, 229, -378, 148, 165, 195, -175, -58, 165, 9, 
-409, -63, 346, 236, -378, 141, 161, 185, -185, -68, 161, 0, 
-414, -68, 346, 241, -380, 139, 161, 180, -180, -68, 156, 0, 
-414, -68, 346, 241, -380, 139, 161, 180, -180, -68, 156, 0, 
-419, -68, 351, 244, -385, 141, 156, 175, -180, -68, 151, 0, 
-424, -78, 346, 251, -385, 134, 146, 170, -185, -78, 146, -9, 
-429, -82, 346, 256, -387, 131, 146, 170, -185, -78, 146, -9, 
-434, -82, 351, 258, -392, 134, 151, 170, -185, -78, 151, -4, 
-434, -78, 356, 256, -395, 139, 156, 170, -185, -78, 151, -4, 
-444, -78, 366, 261, -405, 143, 146, 170, -175, -68, 161, 4, 
-444, -78, 366, 261, -405, 143, 141, 165, -180, -68, 156, 4, 
-444, -73, 370, 258, -407, 148, 136, 161, -180, -68, 156, 4, 
-444, -73, 370, 258, -407, 148, 136, 156, -180, -68, 156, 4, 
-444, -73, 370, 258, -407, 148, 131, 146, -180, -68, 146, 4, 
-444, -73, 370, 258, -407, 148, 126, 146, -185, -68, 141, 0, 
-444, -73, 370, 258, -407, 148, 126, 146, -185, -68, 141, 0, 
-444, -73, 370, 258, -407, 148, 122, 146, -180, -68, 146, 0, 
-444, -82, 361, 263, -402, 139, 122, 151, -180, -68, 146, 0, 
-444, -82, 361, 263, -402, 139, 122, 156, -180, -68, 146, 4, 
-444, -82, 361, 263, -402, 139, 122, 156, -180, -68, 146, 4, 
-444, -87, 356, 265, -400, 134, 122, 156, -180, -68, 146, 9, 
-439, -68, 370, 253, -405, 151, 122, 156, -170, -68, 146, 9, 
-439, -63, 375, 251, -407, 156, 112, 165, -180, -78, 146, 0, 
-429, -78, 351, 253, -390, 136, 117, 175, -170, -68, 146, 4, 
-439, -87, 351, 263, -395, 131, 122, 180, -170, -58, 146, 0, 
-439, -82, 356, 261, -397, 136, 126, 195, -161, -63, 146, 0, 
-429, -82, 346, 256, -387, 131, 136, 214, -136, -58, 151, -4, 
-429, -82, 346, 256, -387, 131, 141, 214, -97, -34, 165, 9, 
-439, -68, 370, 253, -405, 151, 141, 190, -58, -4, 185, 14, 
-448, -43, 405, 246, -427, 180, 122, 117, -14, 34, 200, 14, 
-448, 0, 448, 224, -448, 224, 63, -4, 58, 97, 239, 53, 
-458, 63, 522, 197, -490, 292, 14, -141, 156, 190, 302, 97, 
-468, 126, 595, 170, -531, 361, -14, -258, 244, 273, 375, 146, 
-453, 229, 683, 112, -568, 456, -107, -444, 336, 390, 473, 224, 
-419, 366, 785, 26, -602, 575, -273, -668, 458, 561, 614, 341, 
-390, 492, 883, -51, -636, 688, -424, -878, 561, 736, 756, 448, 
-380, 566, 946, -92, -663, 756, -502, -1024, 624, 868, 873, 541, 
-366, 624, 990, -129, -678, 807, -570, -1141, 673, 995, 985, 624, 
-312, 717, 1029, -202, -671, 873, -663, -1283, 702, 1107, 1107, 717, 
-239, 810, 1049, -285, -644, 929, -805, -1449, 702, 1215, 1215, 814, 
-170, 878, 1049, -353, -610, 963, -985, -1649, 639, 1278, 1298, 907, 
-87, 927, 1015, -419, -551, 971, -1141, -1815, 527, 1278, 1342, 980, 
-48, 956, 1005, -453, -527, 980, -1224, -1893, 405, 1239, 1351, 1034, 
-39, 946, 985, -453, -512, 966, -1263, -1903, 278, 1190, 1351, 1068, 
-29, 897, 927, -434, -478, 912, -1288, -1883, 102, 1088, 1317, 1068, 
-19, 824, 844, -402, -431, 834, -1288, -1834, -122, 907, 1234, 1039, 
-4, 746, 751, -370, -378, 749, -1283, -1771, -341, 712, 1132, 995, 
24, 663, 639, -344, -307, 651, -1293, -1683, -497, 566, 1029, 946, 
39, 585, 546, -312, -253, 566, -1268, -1556, -629, 434, 927, 893, 
